id,titulo,ano_lancamento,generos,generos_unificados,rating,num_avaliacoes,imagem,descricao,metadados
22,The Prince of Tennis,2001,['Sports'],[],7.84,43925.5,https://cdn.myanimelist.net/images/anime/6/21624.jpg,"Echizen Ryouma é um jovem prodígio do tênis que venceu quatro torneios consecutivos, mas que sempre é ofuscado pelo seu pai, um antigo jogador de tênis profissional. Ele entra no colégio da Academia Seishun, uma das melhores escolas de tênis do Japão, e junto com seus colegas descobre seu próprio estilo de jogar tênis para superar seus maiores obstáculos: o próprio pai e si mesmo.","{'id_original': 22, 'episodios': 178}"
23,Ring ni Kakero 1,2004,['Sports'],[],6.35,917.5,https://cdn.myanimelist.net/images/anime/1121/149685.jpg,"Ring ni Kakero é o primeiro grande sucesso criado por Masami Kurumada e foi publicado na Shonen Jump entre 1977 e 1981. Foi um dos maiores sucessos da história da Sueisha, e um dos precursores do estilo Shonen, ou seja, esperança, perseverança, coragem, amizade e vitória. Esta obra narra a história de um jovem boxeador, Ryuuji Takane, que com sua força de vontade e coragem, sonha em se tornar um campeão no mundo do boxe.","{'id_original': 23, 'episodios': 12}"
24,School Rumble,2004,"['Comedy', 'Romance']","['Drama & Narrativo', 'Comédia & Slice of Life', 'Romance']",7.88,76900.5,https://cdn.myanimelist.net/images/anime/1465/142014.jpg,"Harima Kenji é o maior ""bad boy"" do colégio, no entanto, ele é apaixonado por Tsukamoto Tenma, a qual, por sua vez, gosta do Karasuma-kun, o qual prefere um bom prato de ""lamen"". Essa é a premissa básica para uma das séries de comédia mais engraçadas do mundo dos animes.","{'id_original': 24, 'episodios': 26}"
25,Desert Punk,2004,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']","['Ação & Aventura', 'Comédia & Slice of Life', 'Sci-Fi & Fantasia']",7.36,28788.0,https://cdn.myanimelist.net/images/anime/6/75536.jpg,"O mundo estava dominado pelas trevas mas tudo acabou com uma guerra nuclear que transformou o mundo num imenso deserto (isto aproximadamente no ano 3000, portanto não se preocupem). Kanta Mizuno é um descendente dos sobreviventes da guerra nuclear, ele vive no ""Deserto de Kanto"" (antigo Japão) como um mercenário bem famoso, sua fama foi concebida pelo fato de sempre terminar seus trabalhos e por utilizar metodos totalmente anormais para o serviço.","{'id_original': 25, 'episodios': 24}"
26,Texhnolyze,2003,"['Avant Garde', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']","['Drama & Narrativo', 'Terror & Suspense', 'Sci-Fi & Fantasia', 'Estratégia & Puzzle']",7.75,31113.0,https://cdn.myanimelist.net/images/anime/1027/131977.jpg,"A base da história de Texhnolyze é a cidade Lux, uma cidade criada pelo homem no subsolo da Terra com o próposito de coletar o mineral Lafia, componente importante para o processo de ""texhnolyze"", a implementação de próteses bio-mecânicas em pessoas de membros amputados. Nessa cidade três organizações lutam pelo controle geral. A Organ, empresa responsável pela exploração de Lafia e implementação das próteses; Racan, uma organização de jovens texhnolyzados com ideais anarquistas; e por ultimo a Union, grupo fanático-religioso que é contra os implantes. Há também a Class, grupo de anciões que foram os primeiros a tentarem viver por si mesmos longe da area civilizada de Lux, e se mantêm afastados da cidade e de seus conflitos, mas Organ recebe ordens diretas deles.","{'id_original': 26, 'episodios': 22}"
27,Trinity Blood,2005,"['Action', 'Fantasy', 'Sci-Fi']","['Ação & Aventura', 'Sci-Fi & Fantasia']",7.28,41679.5,https://cdn.myanimelist.net/images/anime/10/24649.jpg,"Num futuro distante, um mundo pós-apocalíptico depois da destruição causado pelo Armageddon. A guerra entre humanos (Terran) e vampiros (Methuselah) continua, com uma disputa entre duas facções: o Vaticano e o Império Neo-Humano. Apesar do derramamento de sangue e da violência, muitos anseiam por uma coexistência pacífica entre as duas espécies. Entretanto, entre estes e esse objetivo está a Ordem de Rosenkreuz, um grupo de vampiros extremistas que manipulam os dois lados e colocam-os um contra os outros. Para combatê-los, o grupo ""AX"", de Operações Especiais do Vaticano, liderado pela Cardeal Caterina; precisa usar de todas as suas armas - até mesmo um vampiro que se alimenta do sangue de outros vampiros.","{'id_original': 27, 'episodios': 24}"
28,Yakitate!! Japan,2004,"['Comedy', 'Gourmet']",['Comédia & Slice of Life'],7.91,21467.5,https://cdn.myanimelist.net/images/anime/3/76432.jpg,"Azuma Kazuma possui um grande talento para a panificação. Desde criança, ele está numa jornada para criar o pão perfeito e representar o Japão internacionalmente. Ele pretende, agora, entrar na famosa Padaria Pantasia e assim conseguir realizar seus sonhos.","{'id_original': 28, 'episodios': 69}"
29,Zipang,2004,"['Action', 'Drama', 'Sci-Fi']","['Drama & Narrativo', 'Ação & Aventura', 'Sci-Fi & Fantasia']",7.49,4227.5,https://cdn.myanimelist.net/images/anime/13/75740.jpg,Zipang é uma série de televisão de anime japonesa de 26 episódios dirigida por Kazuhiro Furuhashi e produzida pelo Studio Deen. Foi ao ar no Tokyo Broadcasting System no Japão do final de 2004 ao início de 2005 e foi licenciado para lançamento na América do Norte pela Geneon Entertainment com lançamento em DVD a partir de setembro de 2006. Foi adaptado do mangá de mesmo nome de Kaiji Kawaguchi.,"{'id_original': 29, 'episodios': 26}"
30,Neon Genesis Evangelion,1995,"['Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']","['Drama & Narrativo', 'Sci-Fi & Fantasia']",8.36,591687.5,https://cdn.myanimelist.net/images/anime/1314/108941.jpg,"No ano 2000, um grande impacto de um meteoro na Antártida derreteu o continente gelado, elevando o nível dos mares. Chegou-se a conclusão que Deus estaria tentando eliminar a raça humana e previu-se o envio de ""Angels"" para acabar com a humanidade. Preparando-se para isso, criou-se uma grande organização, custeada por todo o mundo: A NERV. Seu objetivo seria o de proteger a humanidade, pesquisando formas de defesa. Assim nasceram os Evangelions (ou EVA's): Gigantescos robôs pilotados por alguém com o dom de ""sincronizar"" com o sistema.","{'id_original': 30, 'episodios': 26}"
33,Berserk,1997,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","['Drama & Narrativo', 'Terror & Suspense', 'Ação & Aventura', 'Sci-Fi & Fantasia']",8.61,200092.5,https://cdn.myanimelist.net/images/anime/1384/119988.jpg,"Guts, um homem que se auto intitula ""O Espadachim Negro"", passa os seus dias servindo a um grupo de mercenários, o Bando do Falcão, conhecido como ""O Ceifador do Campo de Batalha. Liderado por um homem ambicioso, cruel, e inteligente chamado Griffith, juntos eles batalham para cruzar o caminho para a corte real, porém são forçados a um destino que pode mudar suas vidas inteiras.","{'id_original': 33, 'episodios': 25}"
43,Ghost in the Shell,,"['Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']","['Terror & Suspense', 'Sci-Fi & Fantasia', 'Estratégia & Puzzle']",8.27,177482.0,https://cdn.myanimelist.net/images/anime/10/82594.jpg,"O ano é 2027, um ano seguindo o fim da 4ª Guerra Mundial não-nuclear. Uma bomba explodiu em Newport City, matando um grande traficante de armas que podia ter laços com a misteriosa Unidade 501. O oficial de Segurança Pública Amaraki Daisuke contrata Kusanagi Motoko, uma extraordinária hacker que usa um ciber-corpo totalmente protético para investigar, mas no caso com ela está Batou ""Olhos Que Nunca Dormem"" que acredita que ela é uma criminosa, o Detetive Togusa de Niihama que está investigando uma série de assassinatos de prostitutas e acredita que estão ligados ao incidente e o Tenente-Coronel Kurts da Unidade 501 que também deseja ficar de olho em Kusanagi.","{'id_original': 43, 'episodios': 1}"
45,Rurouni Kenshin,1996,"['Action', 'Comedy', 'Romance']","['Drama & Narrativo', 'Ação & Aventura', 'Comédia & Slice of Life', 'Romance']",8.28,123057.5,https://cdn.myanimelist.net/images/anime/1346/119505.jpg,"Batizada originalmente de Rurouni Kenshin, Samurai X é ambientada nos primeiros anos da Era Meiji no Japão. Durante 10 anos, Kenshin vagou pelo Japão até encontrar abrigo no Dojo Kamiya, onde a jovem Kaoru Kamiya lecionava kendo no estilo Kamiya Kashin (Espada para a Vida). A errante caminhada do jovem ronin tinha um propósito: Visualizar as inúmeras mortes que causara durante o Bakumatsu quando era um hitokiri (assassino retalhador) a serviço da Ishin Shishi (monarquistas que desejavam a restauração do governo para as mãos do imperador), do feudo de Choushuu. Nessa época, Kenshin ficou conhecido como Hitokiri Battousai, por sua grande habilidade com o Battoujutsu, técnica que em um  movimento contínuo saca a espada e realiza o corte. Mesmo com a vitória dos monarquistas que culminou na derrubada do Shogunato Tokugawa, dando origem à Era Meiji, Kenshin, arrependido pelas inúmeras vidas que tirou, decide nunca mais matar.","{'id_original': 45, 'episodios': 94}"
48,.hack//Sign,2002,"['Adventure', 'Fantasy', 'Mystery']","['Estratégia & Puzzle', 'Terror & Suspense', 'Ação & Aventura', 'Sci-Fi & Fantasia']",6.94,43547.5,https://cdn.myanimelist.net/images/anime/1443/94665.jpg,"No ano de 2005, um vírus de computador chamado Pluto's kiss (Beijo de Plutão) destruiu a internet em todo o mundo limitando severamente o ciberespaço. Dois anos depois, com a internet recuperada, as pessoas passam a participar de um jogo de RPG medieval chamado The World que faz grande sucesso. As aventuras são vividas por volta de 20 milhões de usuários online espalhados pelo mundo inteiro.  A história começa quando um dos personagens, um jovem Wavemaster, chamado Tsukasa, inexplicavelmente não consegue mais se desconectar do jogo. Uma jovem Heavy Blade chamada Mimiru fica sabendo sobre o que está acontecendo com Tsukasa e tenta ajudá-lo. Juntam-se à tarefa outros personagens como Bear, Crim, Subaru, Sora e BT.","{'id_original': 48, 'episodios': 26}"
49,Oh! My Goddess,,"['Comedy', 'Romance', 'Supernatural']","['Terror & Suspense', 'Comédia & Slice of Life', 'Drama & Narrativo', 'Romance', 'Sci-Fi & Fantasia']",7.27,14059.0,https://cdn.myanimelist.net/images/anime/1566/152081.jpg,"Keiichi Morisato é um estudante universitário de aparência mirrada e que, de tempos em tempos, fica encarregado de vigiar a república de rapazes em que vive, enquanto seus amigos pirados saem para a curtição. Num destes dias, enquanto tentava encomendar um rango caprichado para matar a fome, Keiichi liga por engano para a Linha de Ajuda das Deusas, uma espécie de serviço celestial de auto-ajuda. Conversa vai, conversa vem, Keiichi acaba conhecendo a bela Belldandy, que se apresenta como Deusa e diz a Keiichi que ele tem direito a fazer um pedido. Imaginando se tratar de uma piada, Keiichi fala que gostaria de ter uma garota como Belldandy ao lado dele, o tempo todo... precisa dizer mais?","{'id_original': 49, 'episodios': 5}"
50,Ah! My Goddess,2005,"['Comedy', 'Romance', 'Supernatural']","['Terror & Suspense', 'Comédia & Slice of Life', 'Drama & Narrativo', 'Romance', 'Sci-Fi & Fantasia']",7.31,39995.0,https://cdn.myanimelist.net/images/anime/1976/99376.jpg,"Keiichi Morisato está ansioso para a vida universitária. Mas, na realidade, ele não tem sorte em alguma coisa, e ele tem problemas com os clubes, amor, etc A verdade é que ele tem uma estrela azarado acima de sua cabeça. Um dia, Keiichi é preso assistindo o dormitório enquanto seus sempai estiver longe, e tem um monte de tarefas a fazer para arrancar. Mas Keiichi é uma pessoa de boa índole, e se começou a fazer seus deveres. Como ele está prestes a terminar a sua tarefa final, ele faz um telefonema para seu sempai. Mas as palavras que vieram através do receptor são, 'Deusa Help Line. Pouco depois, uma bela deusa chamada Belldandy aparece na frente dele no espelho de seu quarto","{'id_original': 50, 'episodios': 24}"
51,Angel Sanctuary,,"['Action', 'Drama', 'Romance', 'Supernatural']","['Terror & Suspense', 'Drama & Narrativo', 'Ação & Aventura', 'Romance', 'Sci-Fi & Fantasia']",6.23,13864.5,https://cdn.myanimelist.net/images/anime/1627/146055.jpg,"Alexiel-sama era um anjo de grande poder e respeito que um dia, traiu o céu e debelou uma guerra contra Deus. Capturada, seu castigo foi ter seu corpo e alma separados. Seu corpo foi preso e sua alma mandada ao mundo dos humanos. Setsuna é um adolescente problema, sempre metido em alguma espécie de confusão, sempre deixando Sara irritada e preocupada. Sara é sua irmã pela qual ele é apaixonado... Anjos e demônios acreditam que ele seja a reencarnação de Alexiel e por causa do grande poder de Alexiel, o Céu o quer morto e o Inferno deseja a ressurreição dele. Porém, Setsuna só pensa em Sara e não liga para o que irá acontecer com os dois planos.","{'id_original': 51, 'episodios': 3}"
52,Battle Doll Angelic Layer,2001,"['Award Winning', 'Comedy', 'Drama', 'Sci-Fi']","['Drama & Narrativo', 'Comédia & Slice of Life', 'Sci-Fi & Fantasia']",7.26,14954.0,https://cdn.myanimelist.net/images/anime/1192/113699.jpg,"No futuro, a tecnologia alcançou um patamar elevadíssimo, e a indústria de brinquedos aproveitou-se disso para criar a maior febre mundial até então lançada, o Angelic Layer. O jogo é o mais popular brinquedo da atualidade, arrebatando milhares de fãs e usuários. Nele, bonecos desenvolvidos com tecnologias extremamente avançadas, os Angels, são controlados por seus operadores, denominados Deuses, em um campo especial que permite sua movimentação, o Angelic Layer. Movendo seus anjos com os pensamentos, os Deuses travam acirradas batalhas, algumas apenas por diversão, outras em torneios oficiais que reúnem os combatentes no topo do ranking. Tais torneios são verdadeiros eventos, com ampla cobertura da mídia, e os grandes competidores chegam a ser mais famosos que muitos artistas. O mangá conta a história de uma garotinha chamada Misaki Suzuhara, que morava no interior do Japão quando foi deixada pela mãe, que se mudou para Tóquio com o pretexto de ir trabalhar, deixando a filha com os avós. Misaki cresce e vai estudar em Tóquio, lá ela encontra o jogo que vai mudar a sua vida. Misaki fica sob a influência do misterioso Icchan e resolve montar sua própria boneca para tornar-se uma controladora, ou Deusa, e assim nasce Hikaru, seu anjo.","{'id_original': 52, 'episodios': 26}"
53,Ai Yori Aoshi,2002,"['Comedy', 'Drama', 'Romance']","['Drama & Narrativo', 'Comédia & Slice of Life', 'Romance']",7.1,27717.0,https://cdn.myanimelist.net/images/anime/7/10172.jpg,"Kaoru Hanabishi, um estudante universitário que mora sozinho, conheci uma garota linda, mas desnorteado vestida com um quimono numa estação de trem. Ele se ofereceu para guiar seu caminho para o endereço que estava procurando, que passou a ser no seu bairro, mas acabou por ser um terreno baldio. Não sabendo o que fazer a seguir, Kaoru convidou a garota arrasada ao seu apartamento e pediu para todos os indícios adicionais para o seu destino. Ela lhe forneceu uma foto de duas crianças a quem Kauru imediatamente identificada como a si mesmo e Sakuraba Aoi, seu amigo de infância. Acontece que a garota na frente dele é Aoi Sakuraba si mesma, sua noiva prometida, que veio todo o caminho para Tóquio para se casar com ele. Sua revelação não era apenas surpreendente, mas também lembrou a parte mais profunda da memória Kaoru por que ele deixou a família Hanabishi em primeiro lugar.","{'id_original': 53, 'episodios': 24}"
55,Arc the Lad,1999,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']","['Terror & Suspense', 'Ação & Aventura', 'Sci-Fi & Fantasia']",6.48,3253.0,https://cdn.myanimelist.net/images/anime/3/49041.jpg,"O anime se inicia com Elk, um garoto de 14 anos com um passado conturbado e que trabalha como caçador de recompensas, visando um dia encontrar Arc (o qual julga responsável pela destruição de sua vila) e um lugar chamado White House. A história parte do ponto no qual o mundo é protegido por vários espíritos, cada um representando um elemento. Os espíritos são responsáveis pela proteção do mundo em relação às forças das trevas. No início, os espíritos viviam em harmonia com os seres humanos, mas com o decorrer do tempo, a humanidade deixou de ouvir sua voz, passando a evoluir à própria maneira.","{'id_original': 55, 'episodios': 26}"
56,Avenger,2003,"['Adventure', 'Fantasy', 'Sci-Fi']","['Ação & Aventura', 'Sci-Fi & Fantasia']",5.85,3681.0,https://cdn.myanimelist.net/images/anime/13/19921.jpg,"Layla Ashley é uma exímia lutadora que participa de alguns torneios (sempre vencendo de forma irrefutável), mas que evita passar pelas cidades, talvez para evitar a participação desnecessária em algum desafio oficial. Layla odeia os ""Dolls"" por alguma razão mas, ainda assim, viaja acompanhada de Nei, uma bela e expressiva boneca loura com um olho de cada cor e com a qual tem uma relação quase maternal. Layla, apesar de humana, é fria e sem expressão, parecendo não ter vontade de viver, enquanto Nei, apesar de ser apenas uma boneca, parece ser mais sentimental que Layla. Nei possui um problema sério: é uma boneca sem registro, uma ""Stray Doll"". De acordo com as regras vigentes em Marte, toda boneca deve ser devidamente registrada: do contrário, será sumariamente eliminada. Por esta razão, Layla e Nei viajam sem poder parar, pois sabem que qualquer descuido significará a destruição de Nei.","{'id_original': 56, 'episodios': 13}"
57,Beck: Mongolian Chop Squad,2004,['Drama'],['Drama & Narrativo'],8.29,74433.0,https://cdn.myanimelist.net/images/anime/11/11636.jpg,"Trata-se de um anime bem original que conta a história de uma banda japonesa formada por cinco jovens. Mas não vá pensando em grandes shows, fama e fortuna. A série mostra as grandes dificuldades pelas quais passam a maioria das bandas que tentam a sorte no Japão (e no mundo).Tanaka Yukio (mais conhecido como Koyuki) é um garoto de 14 que tem uma vida monótona... pelo menos até salvar um cachorro chamado Beck das mãos de delinqüentes de 10 anos (!?). Por causa disso ele acaba conhecendo Minami Ryuusuke, dono do cão e líder de uma banda de rock. Os dois se tornam grandes amigos. Ryuusuke acaba largando sua banda e pensa em formar uma nova, por isso começa a procurar membros. Os primeiros a entrar são o vocalista Chiba, um cara bem ""empolgado"" e cheio de energia, e o sério baixista Taira, que estava a procura de uma banda que tivesse uma boa ""química"". Os outros membros da banda entram depois.","{'id_original': 57, 'episodios': 26}"
58,Blue Gender,1999,"['Adventure', 'Drama', 'Horror', 'Sci-Fi']","['Drama & Narrativo', 'Terror & Suspense', 'Ação & Aventura', 'Sci-Fi & Fantasia']",7.01,16013.5,https://cdn.myanimelist.net/images/anime/1/2023.jpg,"Num futuro próximo, Yuji Kaido é um rapaz mediano diagnosticado com uma doença grave, que foi colocado em uma câmara criogênica até que a cura fosse encontrada. Ele desperta em meio a uma batalha entre grandes soldados blindados e estranhos insetos azuis que supostamente dominaram a terra. A tropa em questão foi mandada pela colônia espacial “segunda terra” para recuperar os “Sleepers” na terra habitada pelos insetos azuis. Entre eles, o soldado Marlene Angel desenvolve um forte vínculo com Yuji enquanto eles tentam voltar para a Segunda Terra.","{'id_original': 58, 'episodios': 26}"
59,Chobits,2002,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']","['Drama & Narrativo', 'Sci-Fi & Fantasia', 'Comédia & Slice of Life', 'Romance']",7.39,131536.0,https://cdn.myanimelist.net/images/anime/4/24648.jpg,"No futuro, foram criados os ""Persocoms"", humanoides inteligentes que se parecem com seres humanos. Hideki Motosuwa deseja comprar um, mas não tem dinheiro para isso. Um dia, ele encontra uma Persocom, que aparentemente foi jogada fora, e decide ficar com ela. Ao ligar a Persocom, tudo o que ela diz é ""Chi"" então ele decide que esse será o seu nome. Após um tempo, Hideki começa a perceber que Chi não é um Persocom qualquer. Ela aparenta ser um ""Chobit"", um tipo avançado de Persocom que tem pensamento próprio, ou seja, consciência.","{'id_original': 59, 'episodios': 26}"
60,Chrono Crusade,2003,"['Action', 'Romance', 'Supernatural']","['Terror & Suspense', 'Drama & Narrativo', 'Ação & Aventura', 'Romance', 'Sci-Fi & Fantasia']",7.59,53445.5,https://cdn.myanimelist.net/images/anime/13/14141.jpg,"A história se passa nos EUA entre 1928 e 1929. O grande desenvolvimento econômico faz com que a ganância domine cada vez mais os seres humanos e este se torna um ambiente ideal para os demônios fazerem suas maldades, pois enquanto fingem ajudar os humanos eles se utilizam destes para os seus próprios objetivos. Para enfrentar tamanho mal a igreja católica criou a ""Magdalene Order"" cujos membros (padres, freiras e etc) tem a função de exorcizar e destruir estes monstros.","{'id_original': 60, 'episodios': 24}"
