id,titulo,ano_lancamento,generos,rating,num_avaliacoes,imagem,descricao,metadata
127,Assassin's Creed II,2009,"Adventure, Stealth, Platform, Action, Historical, Open world, Sandbox, Fantasy, Science fiction",88.46,2970,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rcf.jpg,"Discover an intriguing and epic story of power, revenge and conspiracy set during a pivotal moment in history: the Italian Renaissance. Experience the freedom and immersion of an all new open world and mission structure with settings such as the rooftops and canals of beautiful Venice. Your options in combat, assassination and escape are vast, with many new weapons, settings and gameplay elements.","{""slug"": ""assassin-s-creed-ii"", ""igdb_url"": ""https://www.igdb.com/games/assassin-s-creed-ii"", ""plataformas"": [""PlayStation 3"", ""PC (Microsoft Windows)"", ""iOS"", ""Mac"", ""Xbox 360""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Platform"", ""Action"", ""Historical"", ""Open world"", ""Sandbox"", ""Fantasy"", ""Science fiction""]}"
20,BioShock,2007,"Adventure, Stealth, Horror, Puzzle, Action, Open world, Shooter, Role-playing (RPG), Science fiction",89.7,2964,https://images.igdb.com/igdb/image/upload/t_cover_big/co2mli.jpg,"BioShock is a horror-themed first-person shooter set in a steampunk underwater dystopia. The player is urged to turn everything into a weapon: biologically modifying their own body with Plasmids, hacking devices and systems, upgrading their weapons, crafting new ammo variants, and experimenting with different battle techniques are all possible. The game is described by the developers as a spiritual successor to their previous PC title System Shock 2. BioShock received high praise in critical reviews for its atmospheric audio and visual quality, absorbing and original plot and its unique gaming experience.","{""slug"": ""bioshock"", ""igdb_url"": ""https://www.igdb.com/games/bioshock"", ""plataformas"": [""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Horror"", ""Puzzle"", ""Action"", ""Open world"", ""Shooter"", ""Role-playing (RPG)"", ""Science fiction""]}"
733,Grand Theft Auto: Vice City,2002,"Adventure, Arcade, Action, Comedy, Open world, Shooter, Racing, Sandbox",90.69,2824,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lbb.jpg,"In the year 1986, Tommy Vercetti is heavily indebted to his mafia superiors after a drug deal gone awry, but his dreams of taking over Vice City (based on Miami) push him down a different path. Featuring a wide variety of vehicles and weapons, radio stations playing hit songs from the era and an intense atmosphere, GTA: Vice City is an open-world sandbox satire of '80's Miami.","{""slug"": ""grand-theft-auto-vice-city"", ""igdb_url"": ""https://www.igdb.com/games/grand-theft-auto-vice-city"", ""plataformas"": [""Xbox"", ""PC (Microsoft Windows)"", ""Mac"", ""PlayStation 2""], ""raw_genres"": [""Adventure"", ""Arcade"", ""Action"", ""Comedy"", ""Open world"", ""Shooter"", ""Racing"", ""Sandbox""]}"
7346,The Legend of Zelda: Breath of the Wild,2017,"Adventure, Puzzle, Action, Open world, Sandbox, Fantasy, Science fiction",95.1,2715,https://images.igdb.com/igdb/image/upload/t_cover_big/co3p2d.jpg,"The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time.","{""slug"": ""the-legend-of-zelda-breath-of-the-wild"", ""igdb_url"": ""https://www.igdb.com/games/the-legend-of-zelda-breath-of-the-wild"", ""plataformas"": [""Wii U"", ""Nintendo Switch""], ""raw_genres"": [""Adventure"", ""Puzzle"", ""Action"", ""Open world"", ""Sandbox"", ""Fantasy"", ""Science fiction""]}"
231,Half-Life,1998,"Adventure, Horror, Puzzle, Action, Warfare, Shooter, Thriller, Science fiction",84.2,2665,https://images.igdb.com/igdb/image/upload/t_cover_big/coag8n.jpg,"Dr. Gordon Freeman doesn't speak, but he's got a helluva story to tell. This first-person roller-coaster initiated a new era in the history of action games by combining engrossing gameplay, upgraded graphics, ingenious level design and a revolutionary story that may not be all that it seems, told not through cutscenes, but through the visual environment.","{""slug"": ""half-life"", ""igdb_url"": ""https://www.igdb.com/games/half-life"", ""plataformas"": [""Linux"", ""PC (Microsoft Windows)"", ""Mac"", ""PlayStation 2""], ""raw_genres"": [""Adventure"", ""Horror"", ""Puzzle"", ""Action"", ""Warfare"", ""Shooter"", ""Thriller"", ""Science fiction""]}"
74,Mass Effect 2,2010,"Adventure, Action, Shooter, Role-playing (RPG), Science fiction",93.51,2602,https://images.igdb.com/igdb/image/upload/t_cover_big/co20ac.jpg,"Are you prepared to lose everything to save the galaxy? You'll need to be, Commander Shephard. It's time to bring together your greatest allies and recruit the galaxy's fighting elite to continue the resistance against the invading Reapers. So steel yourself, because this is an astronomical mission where sacrifices must be made. You'll face tougher choices and new, deadlier enemies. Arm yourself and prepare for an unforgettable intergalactic adventure.  Game Features:  Shift the fight in your favour. Equip yourself with powerful new weapons almost instantly thanks to a new inventory system. Plus, an improved health regeneration system means you'll spend less time hunting for restorative items.  Make every decision matter. Divisive crew members are just the tip of the iceberg, Commander, because you'll also be tasked with issues of intergalactic diplomacy. And time's a wastin' so don't be afraid to use new prompt-based actions that let you interrupt conversations, even if they could alter the fate of your crew...and the galaxy.  Forge new alliances, carefully. You'll fight alongside some of your most trustworthy crew members, but you'll also get the opportunity to recruit new talent. Just choose your new partners with care because the fate of the galaxy rests on your shoulders, Commander.","{""slug"": ""mass-effect-2"", ""igdb_url"": ""https://www.igdb.com/games/mass-effect-2"", ""plataformas"": [""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""], ""raw_genres"": [""Adventure"", ""Action"", ""Shooter"", ""Role-playing (RPG)"", ""Science fiction""]}"
538,BioShock Infinite,2013,"Adventure, Horror, Action, Historical, Shooter, Drama, Fantasy, Science fiction",89.44,2554,https://images.igdb.com/igdb/image/upload/t_cover_big/co2n12.jpg,"BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once.","{""slug"": ""bioshock-infinite"", ""igdb_url"": ""https://www.igdb.com/games/bioshock-infinite"", ""plataformas"": [""PlayStation 3"", ""Linux"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360""], ""raw_genres"": [""Adventure"", ""Horror"", ""Action"", ""Historical"", ""Shooter"", ""Drama"", ""Fantasy"", ""Science fiction""]}"
501,Batman: Arkham City,2011,"Adventure, Stealth, Action, Open world, Hack and slash/Beat 'em up",89.33,2506,https://images.igdb.com/igdb/image/upload/t_cover_big/co1voh.jpg,"Batman: Arkham City builds upon the intense, atmospheric foundation of Batman: Arkham Asylum, sending players soaring into Arkham City, the new maximum security ""home"" for all of Gotham City's thugs, gangsters and insane criminal masterminds.  Set inside the heavily fortified walls of a sprawling district in the heart of Gotham City, this highly anticipated sequel introduces a brand-new story that draws together a new all-star cast of classic characters and murderous villains from the Batman universe, as well as a vast range of new and enhanced gameplay features to deliver the ultimate experience as the Dark Knight.","{""slug"": ""batman-arkham-city"", ""igdb_url"": ""https://www.igdb.com/games/batman-arkham-city"", ""plataformas"": [""OnLive Game System"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360"", ""Nintendo Switch""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Action"", ""Open world"", ""Hack and slash/Beat 'em up""]}"
500,Batman: Arkham Asylum,2009,"Adventure, Stealth, Horror, Action, Open world, Hack and slash/Beat 'em up, Science fiction",87.52,2471,https://images.igdb.com/igdb/image/upload/t_cover_big/co1voj.jpg,"Batman: Arkham Asylum is an action-adventure game developed by Rocksteady Studios and published by Warner Bros. Interactive Entertainment. Released in 2009, it follows Batman as he battles the Joker, who seizes control of Arkham Asylum and frees its inmates. The game features stealth, combat, and detective elements, with players using Batman's gadgets and skills to subdue enemies and solve puzzles.  Set in a dark, immersive version of Gotham, the story explores Batman’s psychological battle with his foes, including Harley Quinn, Bane, and Scarecrow. The game received critical acclaim for its gameplay, atmosphere, and storytelling, becoming a defining title in superhero video games.","{""slug"": ""batman-arkham-asylum"", ""igdb_url"": ""https://www.igdb.com/games/batman-arkham-asylum"", ""plataformas"": [""PlayStation 3"", ""Ouya"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360"", ""Nintendo Switch""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Horror"", ""Action"", ""Open world"", ""Hack and slash/Beat 'em up"", ""Science fiction""]}"
7331,Uncharted 4: A Thief's End,2016,"Adventure, Stealth, Action, Historical, Shooter, Fantasy",91.91,2387,https://images.igdb.com/igdb/image/upload/t_cover_big/co1r7h.jpg,"Several years after his last adventure, retired fortune hunter, Nathan Drake, is forced back into the world of thieves. With the stakes much more personal, Drake embarks on a globe-trotting journey in pursuit of a historical conspiracy behind a fabled pirate treasure. His greatest adventure will test his physical limits, his resolve, and ultimately what he's willing to sacrifice to save the ones he loves.","{""slug"": ""uncharted-4-a-thief-s-end"", ""igdb_url"": ""https://www.igdb.com/games/uncharted-4-a-thief-s-end"", ""plataformas"": [""PlayStation 4""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Action"", ""Historical"", ""Shooter"", ""Fantasy""]}"
73,Mass Effect,2007,"Action, Romance, Shooter, Role-playing (RPG), Science fiction",87.31,2376,https://images.igdb.com/igdb/image/upload/t_cover_big/co1x7o.jpg,"What starts as a routine mission to an agrarian outpost quickly becomes the opening salvo in an epic war. As the newly appointed Executive Officer of the SSV Normandy, you'll assemble and lead an elite squad of heroes into battle after heart-pounding battle. Each decision you make will impact not only your fate, but the destiny of the entire galaxy in the Mass Effect trilogy.  Key Features:  Incredible, interactive storytelling. Create and customize your own character, from Commander Shepard's appearance and skills to a personalized arsenal. Unleash devastating abilities as you command and train. Your decisions will control the outcome of each mission, your relationships with your crew and ultimately the entire war.  An amazing universe to explore. From the massive Citadel to the harsh, radioactive landscape of the Krogan home world – the incredible breadth of the Mass Effect universe will blow you away. Travel to the farthest outposts aboard the SSV Normandy, the most technologically advanced ship in the galaxy. You'll follow the clues left by ancient civilizations, discover hidden bases with fantastic new tech and lead your hand-picked crew into explosive alien battles.  Edge-of-your-seat excitement meets strategic combat. Find the perfect combination of squad-mates and weapons for each battle if you want to lead them to victory. Sun-Tzu's advice remains as pertinent in 2183 as it is today – know your enemy. You'll need different tactics for a squad of enemies with devastating biotic attacks than a heavily armored Geth Colossus so choose your teams wisely.","{""slug"": ""mass-effect"", ""igdb_url"": ""https://www.igdb.com/games/mass-effect"", ""plataformas"": [""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""], ""raw_genres"": [""Action"", ""Romance"", ""Shooter"", ""Role-playing (RPG)"", ""Science fiction""]}"
434,Red Dead Redemption,2010,"Adventure, Action, Open world, Sandbox, Shooter, Role-playing (RPG)",90.59,2260,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lcv.jpg,"A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open world filled with wildlife, mini-games, and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family. Along his journey, he meets many characters emblematic of the Wild West, heroism, and the new civilization.","{""slug"": ""red-dead-redemption"", ""igdb_url"": ""https://www.igdb.com/games/red-dead-redemption"", ""plataformas"": [""PlayStation 3"", ""Xbox 360""], ""raw_genres"": [""Adventure"", ""Action"", ""Open world"", ""Sandbox"", ""Shooter"", ""Role-playing (RPG)""]}"
1164,Tomb Raider,2013,"Adventure, Survival, Platform, Puzzle, Action, Shooter, Sandbox",83.23,2248,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rbu.jpg,"Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold.","{""slug"": ""tomb-raider--2"", ""igdb_url"": ""https://www.igdb.com/games/tomb-raider--2"", ""plataformas"": [""PlayStation 3"", ""Linux"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360""], ""raw_genres"": [""Adventure"", ""Survival"", ""Platform"", ""Puzzle"", ""Action"", ""Shooter"", ""Sandbox""]}"
11156,Horizon Zero Dawn,2017,"Adventure, Stealth, Action, Open world, Shooter, Role-playing (RPG), Drama, Science fiction",88.21,2245,https://images.igdb.com/igdb/image/upload/t_cover_big/co2una.jpg,"Welcome to a vibrant world rich with the beauty of nature – but inhabited by awe-inspiring, highly advanced machines. As a young machine hunter named Aloy, you must unravel the mysteries of this world and find your own destiny.","{""slug"": ""horizon-zero-dawn"", ""igdb_url"": ""https://www.igdb.com/games/horizon-zero-dawn"", ""plataformas"": [""PlayStation 4"", ""PC (Microsoft Windows)""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Action"", ""Open world"", ""Shooter"", ""Role-playing (RPG)"", ""Drama"", ""Science fiction""]}"
16,Fallout: New Vegas,2010,"Stealth, Survival, Action, Open world, Shooter, Sandbox, Role-playing (RPG), Science fiction",84.57,2196,https://images.igdb.com/igdb/image/upload/t_cover_big/co1u60.jpg,"In this first-person Western RPG, the player takes on the role of Courier 6, barely surviving after being robbed of their cargo, shot and put into a shallow grave by a New Vegas mob boss. The Courier sets out to track down their robbers and retrieve their cargo, and winds up getting tangled in the complex ideological and socioeconomic web of the many factions and settlements of post-nuclear Nevada.","{""slug"": ""fallout-new-vegas"", ""igdb_url"": ""https://www.igdb.com/games/fallout-new-vegas"", ""plataformas"": [""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""], ""raw_genres"": [""Stealth"", ""Survival"", ""Action"", ""Open world"", ""Shooter"", ""Sandbox"", ""Role-playing (RPG)"", ""Science fiction""]}"
529,Far Cry 3,2012,"Adventure, Stealth, Survival, Action, Open world, Shooter, Sandbox",86.53,2093,https://images.igdb.com/igdb/image/upload/t_cover_big/co1vpd.jpg,"Explore an island playground as stunningly beautiful as it is diverse – from mountain ranges to swampy grasslands and white sandy beaches. Fight your way through the island’s towns, temples, river ports and more.  Encounter a diverse and realistic cast of characters, including one of Far Cry’s most notorious villains: Vaas Montenegro. Dive into this deep and enriching story where morals are questionable and hope is all but abandoned.","{""slug"": ""far-cry-3"", ""igdb_url"": ""https://www.igdb.com/games/far-cry-3"", ""plataformas"": [""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Survival"", ""Action"", ""Open world"", ""Shooter"", ""Sandbox""]}"
565,Uncharted 2: Among Thieves,2009,"Adventure, Platform, Action, Historical, Shooter, Fantasy",91.99,2068,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tnb.jpg,"In the sequel to Drake's Fortune, Nathan Drake comes across a map that showcases the location of Marco Polo's missing ships. It takes him on a journey to find the infamous Cintamani Stone, and uncover the truth behind it.","{""slug"": ""uncharted-2-among-thieves"", ""igdb_url"": ""https://www.igdb.com/games/uncharted-2-among-thieves"", ""plataformas"": [""PlayStation 3""], ""raw_genres"": [""Adventure"", ""Platform"", ""Action"", ""Historical"", ""Shooter"", ""Fantasy""]}"
1029,The Legend of Zelda: Ocarina of Time,1998,"Adventure, Puzzle, Action, Open world, Sandbox, Fantasy",91.59,1984,https://images.igdb.com/igdb/image/upload/t_cover_big/co3nnx.jpg,"The Legend of Zelda: Ocarina of Time is the fifth main installment of The Legend of Zelda series and the first to be released for the Nintendo 64. It was one of the most highly anticipated games of its age, and is listed among the greatest video games ever created by numerous websites and magazines. The gameplay of Ocarina of Time was revolutionary for its time, it has arguably made more of an impact on later games in the series than any of its predecessors even though they had the same cores of exploration, dungeons, puzzles and item usage. Among the gameplay mechanics, one of the most noteworthy is the time-traveling system. The game begins with the player controlling the child Link, but later on an adult Link becomes a playable character as well and each of them has certain unique abilities. Ocarina of Time also introduces the use of music to solve puzzles: as new songs are learned, they can be used to solve puzzles, gain access to new areas and warp to different locations. Dungeon exploration is somewhat more puzzle-oriented than in earlier games but they are not too complex.","{""slug"": ""the-legend-of-zelda-ocarina-of-time"", ""igdb_url"": ""https://www.igdb.com/games/the-legend-of-zelda-ocarina-of-time"", ""plataformas"": [""Wii"", ""Nintendo 64"", ""64DD"", ""Wii U""], ""raw_genres"": [""Adventure"", ""Puzzle"", ""Action"", ""Open world"", ""Sandbox"", ""Fantasy""]}"
121,Minecraft: Java Edition,2011,"Kids, Adventure, Survival, Simulator, Open world, Sandbox, Fantasy",84.58,1941,https://images.igdb.com/igdb/image/upload/t_cover_big/coa77e.jpg,"Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon.","{""slug"": ""minecraft-java-edition"", ""igdb_url"": ""https://www.igdb.com/games/minecraft-java-edition"", ""plataformas"": [""Linux"", ""PC (Microsoft Windows)"", ""Mac""], ""raw_genres"": [""Kids"", ""Adventure"", ""Survival"", ""Simulator"", ""Open world"", ""Sandbox"", ""Fantasy""]}"
19565,Marvel's Spider-Man,2018,"Adventure, Stealth, Action, Open world, Hack and slash/Beat 'em up, Drama",88.39,1902,https://images.igdb.com/igdb/image/upload/t_cover_big/co1r77.jpg,"Starring the world’s most iconic Super Hero, Spider-Man features the acrobatic abilities, improvisation and web-slinging that the wall-crawler is famous for, while also introducing elements never-before-seen in a Spider-Man game. From traversing with parkour and utilizing the environment, to new combat and blockbuster set pieces, it’s Spider-Man unlike any you’ve played before.","{""slug"": ""marvels-spider-man"", ""igdb_url"": ""https://www.igdb.com/games/marvels-spider-man"", ""plataformas"": [""PlayStation 4""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Action"", ""Open world"", ""Hack and slash/Beat 'em up"", ""Drama""]}"
14593,Hollow Knight,2017,"Adventure, Platform, Action, Fantasy, Indie",91.67,1902,https://images.igdb.com/igdb/image/upload/t_cover_big/co93cr.jpg,"A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas.","{""slug"": ""hollow-knight"", ""igdb_url"": ""https://www.igdb.com/games/hollow-knight"", ""plataformas"": [""PlayStation 4"", ""Linux"", ""PC (Microsoft Windows)"", ""Mac"", ""Wii U"", ""Xbox One"", ""Nintendo Switch""], ""raw_genres"": [""Adventure"", ""Platform"", ""Action"", ""Fantasy"", ""Indie""]}"
1074,Super Mario 64,1996,"Adventure, Platform, Action, Open world, Fantasy",88.95,1877,https://images.igdb.com/igdb/image/upload/t_cover_big/co721v.jpg,"The first three-dimensional entry in the Mario franchise, Super Mario 64 follows Mario as he puts his broadened 3D movement arsenal to use in order to rescue Princess Peach from the clutches of his archrival Bowser. Mario has to jump into worlds within paintings ornamenting the walls of Peach's castle, uncover secrets and hidden challenges, and collect golden Power Stars as reward for platforming trials.","{""slug"": ""super-mario-64"", ""igdb_url"": ""https://www.igdb.com/games/super-mario-64"", ""plataformas"": [""Wii"", ""Nintendo 64"", ""Wii U""], ""raw_genres"": [""Adventure"", ""Platform"", ""Action"", ""Open world"", ""Fantasy""]}"
