id,titulo,ano_lancamento,titulos_alternativos
1237082,31 Minutos: Natal Escaldante,2025.0,"['31 Minutos: Calurosa Navidad', '31 Minutes: One Hot Christmas']"
7451,Triplo X,2002.0,['xXx']
1241983,Sonhos de Trem,2025.0,['Train Dreams']
402431,Wicked,2024.0,['Wicked']
1280518,Laberinto de sombras,2024.0,['Laberinto de sombras']
937941,Terror em Shelby Oaks,2025.0,['Shelby Oaks']
1468417,Antes da Lua Cheia,2025.0,['First Moon']
617126,Quarteto Fantástico: Primeiros Passos,2025.0,['The Fantastic 4: First Steps']
1038392,Invocação do Mal - O Último Ritual,2025.0,['The Conjuring: Last Rites']
1218762,Feliz Assalto!,2025.0,['Jingle Bell Heist']
1522377,"Dois Mundos, Um Desejo",2025.0,"['İki Dünya Bir Dilek', 'Two Worlds One Wish']"
575265,Missão: Impossível - O Acerto Final,2025.0,['Mission: Impossible - The Final Reckoning']
1223601,Sisu: Estrada para a Vingança,2025.0,"['Sisu 2', 'Sisu: Road to Revenge']"
1320414,The Witness,2025.0,['The Witness']
1242419,O Bom Bandido,2025.0,['Roofman']
1377505,Terror no Hospital Psiquiátrico,2024.0,['Spithood']
1580027,The Man Without a Face,1928.0,['The Man Without a Face']
1429738,Tee Yai: Nascido para o Mal,2025.0,"['ตี๋ใหญ่ ฤกษ์ดาวโจร', 'Tee Yai: Born to Be Bad']"
1299655,Blue Moon,2025.0,['Blue Moon']
1429520,Sidelined 2: Intercepted,2025.0,['Sidelined 2: Intercepted']
1161617,Code 3,2025.0,['Code 3']
1234821,Jurassic World: Recomeço,2025.0,['Jurassic World Rebirth']
798645,O Sobrevivente,2025.0,['The Running Man']
1061474,Superman,2025.0,['Superman']
24428,Os Vingadores: The Avengers,2012.0,['The Avengers']
1010581,Minha Culpa,2023.0,"['Culpa mía', 'Culpa Mia']"
1511789,Capitão Hook: A Maldição das Marés,2025.0,['Captain Hook: The Cursed Tides']
1021591,Desconocido,2022.0,"['Desconocido', 'Unknown']"
1214140,Orang Ikan,2025.0,['Orang Ikan']
793387,Holy Night: Demon Hunters,2025.0,"['거룩한 밤: 데몬 헌터스', 'Holy Night: Demon Hunters']"
911430,F1 - O Filme,2025.0,['F1']
957119,O Bad Boy e Eu,2025.0,['Sidelined: The QB and Me']
1156594,Nossa Culpa,2025.0,"['Culpa nuestra', 'Our Fault']"
83533,Avatar: Fogo e Cinzas,2025.0,['Avatar: Fire and Ash']
1025527,A Perseguição,2024.0,"['The Chase', 'Six jours']"
81467,Laura's Toys,1975.0,"[""Laura's Toys""]"
1214130,Frankie e os Monstros,2025.0,['Stitch Head']
1175942,Os Caras Malvados 2,2025.0,['The Bad Guys 2']
1087192,Como Treinar o Seu Dragão,2025.0,['How to Train Your Dragon']
1125122,Nélida,2023.0,['Nélida']
157336,Interestelar,2014.0,['Interstellar']
1215106,หมู่บ้านโคกะโหลก,2025.0,"['หมู่บ้านโคกะโหลก', 'Ko Ga Loak Village']"
507244,Caçadores do Fim do Mundo,2025.0,['Afterburn']
639988,Sem Outra Escolha,2025.0,"['No Other Choice', '어쩔수가없다']"
1403735,లైలా,2025.0,"['Laila', 'లైలా']"
381553,Seven Devils,2015.0,['Seven Devils']
1266990,Kulong,2024.0,['Kulong']
1007734,Anônimo 2,2025.0,['Nobody 2']
1035259,Corra Que a Polícia Vem Aí!,2025.0,['The Naked Gun']
62201,शहँशाह,1988.0,"['Emporer', 'शहँशाह']"
1284120,A Meia-Irmã Feia,2025.0,"['Den stygge stesøsteren', 'The Ugly Stepsister']"
861451,O Guerreiro,2024.0,['Martin']
1117857,Nos Seus Sonhos,2025.0,['In Your Dreams']
1316147,Grand Prix: A Toda Velocidade,2025.0,['Grand Prix of Europe']
1257009,Guerra Primitiva,2025.0,['Primitive War']
1305717,Hunting Grounds,2025.0,['Hunting Grounds']
1096563,O Fim da Lealdade,2023.0,['End of Loyalty']
533533,Tron: Ares,2025.0,['TRON: Ares']
1142101,A Vingança Não é um Jogo,2024.0,['ClearMind']
632318,Alelí,2019.0,['Alelí']
552524,Lilo & Stitch,2025.0,['Lilo & Stitch']
1010756,Os Estranhos: Capítulo 2,2025.0,['The Strangers: Chapter 2']
980477,Ne Zha 2: O Renascer da Alma,2025.0,"['Nezha: The demon child churns the sea', '哪吒之魔童闹海']"
8871,O Grinch,2000.0,['How the Grinch Stole Christmas']
474350,IT: Capítulo Dois,2019.0,['It Chapter Two']
1022787,Elio,2025.0,['Elio']
1022789,Divertida Mente 2,2024.0,['Inside Out 2']
518749,El motoarrebatador,2018.0,"['The Snatch Thief', 'El motoarrebatador']"
1583907,Zootopia: Better Zoogether,2025.0,[]
541671,Bailarina: Do Universo de John Wick,2025.0,['Ballerina']
597,Titanic,1997.0,['Titanic']
1214931,Nuremberg,2025.0,['Nuremberg']
950387,Um Filme Minecraft,2025.0,['A Minecraft Movie']
372058,Your name.,2016.0,"['Your Name', '君の名は。']"
76600,Avatar: O Caminho da Água,2022.0,['Avatar: The Way of Water']
133382,Lackawanna Blues,2005.0,['Lackawanna Blues']
1291040,Natale senza Babbo,2025.0,"['Natale senza Babbo', 'Mrs. Christmas']"
1219158,லவ்வர்,2024.0,"['லவ்வர்', 'Lover']"
604079,A Longa Marcha: Caminhe ou Morra,2025.0,['The Long Walk']
1396371,Les irresponsables,2025.0,['Les irresponsables']
1149535,Isaac Littlefeathers,1984.0,['Isaac Littlefeathers']
1210732,Un ours dans le Jura,2025.0,"['Un ours dans le Jura', 'How to Make a Killing']"
10483,Corrida Mortal,2008.0,['Death Race']
1186350,Marco: Justiça Implacável,2024.0,"['Marco', 'മാർക്കോ']"
417575,Postergados,2016.0,['Postponed']
1280282,A Casa Mágica da Gabby: O Filme,2025.0,"[""Gabby's Dollhouse: The Movie""]"
455240,Nerve,2011.0,['Nerve']
346364,It: A Coisa,2017.0,['It']
1229910,Kryptic,2025.0,['Kryptic']
1053987,Witchy Ways,2024.0,['Witchy Ways']
1517874,Novembro,2025.0,"['Noviembre', 'November']"
13644,Um Pedido De Natal,1991.0,['All I Want For Christmas']
764523,El visitante,2022.0,"['The Visitor', 'El visitante']"
27205,A Origem,2010.0,['Inception']
489607,Red Shirley,2010.0,['Red Shirley']
950396,Entre Montanhas,2025.0,['The Gorge']
674,Harry Potter e o Cálice de Fogo,2005.0,['Harry Potter and the Goblet of Fire']
155,Batman: O Cavaleiro das Trevas,2008.0,['The Dark Knight']
846369,Perfect Day,2007.0,['Perfect Day']
8915,Especial Mulheres Inspiradoras,2009.0,['Amelia']
66245,அருணாச்சலம்,1997.0,"['Arunachalam', 'அருணாச்சலம்']"
120,O Senhor dos Anéis: A Sociedade do Anel,2001.0,['The Lord of the Rings: The Fellowship of the Ring']
941109,Jogo Sujo,2025.0,['Play Dirty']
1197306,Resgate Implacável,2025.0,['A Working Man']
1376434,Predador: Assassino de Assassinos,2025.0,['Predator: Killer of Killers']
224526,Uma Mulher Misteriosa,1990.0,['Deceptions']
1580234,Akin Ang Gabi,2025.0,['Akin Ang Gabi']
106646,O Lobo de Wall Street,2013.0,['The Wolf of Wall Street']
673,Harry Potter e o Prisioneiro de Azkaban,2004.0,['Harry Potter and the Prisoner of Azkaban']
41515,Zé Colmeia: O Filme,2010.0,['Yogi Bear']
772,Esqueceram de Mim 2: Perdido em Nova York,1992.0,['Home Alone 2: Lost in New York']
1287571,Agak Laen: Menyala Pantiku!,2025.0,['Agak Laen: Menyala Pantiku!']
338969,O Vingador Tóxico,2025.0,['The Toxic Avenger Unrated']
238,O Poderoso Chefão,1972.0,['The Godfather']
945906,Galathea,1922.0,['Galathea']
1125257,Uma Sexta-Feira Mais Louca Ainda,2025.0,['Freakier Friday']
845781,Operação Natal,2024.0,['Red One']
1241742,EKS,2024.0,['EKS']
1233413,Pecadores,2025.0,['Sinners']
986206,Night Carnage,2025.0,['Night Carnage']
1267319,Mantis,2025.0,"['사마귀', 'Mantis']"
808,Shrek,2001.0,['Shrek']
760329,Coração de Lutador: The Smashing Machine,2025.0,['The Smashing Machine']
1357886,Django Undisputed,2024.0,['Django Undisputed']
986056,Thunderbolts*,2025.0,['Thunderbolts*']
1208348,Família de Aluguel,2025.0,['Rental Family']
675,Harry Potter e a Ordem da Fênix,2007.0,['Harry Potter and the Order of the Phoenix']
1304434,Nobody,2025.0,"['Nobody', '浪浪山小妖怪']"
502356,Super Mario Bros. O Filme,2023.0,['The Super Mario Bros. Movie']
634649,Homem-Aranha: Sem Volta Para Casa,2021.0,['Spider-Man: No Way Home']
145341,Pułkownik Kwiatkowski,1996.0,"['Colonel Kwiatkowski', 'Pułkownik Kwiatkowski']"
1086910,A Princesa Perdida,2025.0,['The Lost Princess']
77250,O Furacão,1937.0,['The Hurricane']
299536,Vingadores: Guerra Infinita,2018.0,['Avengers: Infinity War']
1144095,Camino a Theobald,,"['Road to Theobald', 'Camino a Theobald']"
1475189,Desastre en familia,2025.0,"['Family Disaster', 'Desastre en familia']"
1267905,Os Roses: Até Que a Morte Os Separe,2025.0,['The Roses']
1401318,Um Natal Ex-pecial,2025.0,['A Merry Little Ex-Mas']
748881,Altri Desideri Particolari,1983.0,"['Altri Desideri Particolari', 'The Erotic Dreams of a Lady']"
539972,Kraven: O Caçador,2024.0,['Kraven the Hunter']
482600,일본 엄마,2017.0,"['일본 엄마', 'Japanese Mom']"
1269173,Amityville A.I.,2024.0,['Amityville A.I.']
63319,Belle épine,2010.0,"['Dear Prudence', 'Belle épine']"
277355,Everly: Implacável e Perigosa,2015.0,['Everly']
1011477,Karatê Kid: Lendas,2025.0,['Karate Kid: Legends']
1160360,"Se Eu Tivesse Pernas, Te Chutaria",2025.0,"[""If I Had Legs I'd Kick You""]"
1299209,O Filho de Mil Homens,2025.0,"['O Filho de Mil Homens', 'The Son of a Thousand Men']"
1151031,Faça Ela Voltar,2025.0,['Bring Her Back']
933260,A Substância,2024.0,['The Substance']
1330421,Lago dos Ossos,2025.0,['Bone Lake']
1135429,Nanoshark,2024.0,['Nanoshark']
1328803,Prisioneiro de Guerra,2025.0,['Prisoner of War']
1310672,Fûto Tantei: Kamen Rider Skull no Shôzô,2024.0,"['風都探偵 仮面ライダースカルの肖像', 'Fuuto PI: The Portrait of Masked Rider Skull']"
127139,Playtime,1995.0,['Play Time']
13,Forrest Gump: O Contador de Histórias,1994.0,['Forrest Gump']
1404791,Dollhouse,2025.0,"['ドールハウス', 'Dollhouse']"
1245347,Twinless - Um Gêmeo a Menos,2025.0,['Twinless']
1581099,Kevin Hart: Acting My Age,2025.0,['Kevin Hart: Acting My Age']
142254,Jeanne Eagels,1957.0,['Jeanne Eagels']
411,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",2005.0,"['The Chronicles of Narnia: The Lion, the Witch and the Wardrobe']"
488968,Sree Hari Hara Sudhan Swami Ayyappan,2017.0,['Sree Hari Hara Sudhan Swami Ayyappan']
291805,Truque de Mestre 2,2016.0,['Now You See Me 2']
12444,Harry Potter e as Relíquias da Morte - Parte 1,2010.0,['Harry Potter and the Deathly Hallows: Part 1']
14635,Desafio do Destino,2002.0,['The Rookie']
603,Matrix,1999.0,['The Matrix']
912649,Venom: A Última Rodada,2024.0,['Venom: The Last Dance']
823219,Flow,2024.0,"['Straume', 'Flow']"
14400,O Invencível - Largo Winch,2008.0,"['The Heir Apparent', 'Largo Winch']"
1269021,Um Pesadelo Sem Fim,2024.0,['Wake']
615457,Anônimo,2021.0,['Nobody']
361743,Top Gun: Maverick,2022.0,['Top Gun: Maverick']
1235746,O Frio da Morte,2025.0,['Dead of Winter']
109445,Frozen: Uma Aventura Congelante,2013.0,['Frozen']
10138,Homem de Ferro 2,2010.0,['Iron Man 2']
986097,GOAT,2025.0,['HIM']
756999,O Telefone Preto,2022.0,['The Black Phone']
13494,Red Sonja,2025.0,['Red Sonja']
1084199,Acompanhante Perfeita,2025.0,['Companion']
12445,Harry Potter e as Relíquias da Morte - Parte 2,2011.0,['Harry Potter and the Deathly Hallows: Part 2']
579974,"RRR: Revolta, Rebelião, Revolução",2022.0,"['రౌద్రం రణం రుధిరం', 'RRR EncoRRRe']"
1470086,Ligaw,2025.0,['Ligaw']
14836,Coraline e o Mundo Secreto,2009.0,['Coraline']
936108,Smurfs,2025.0,['Smurfs']
1422166,A Era do Desacobertamento,2025.0,['The Age of Disclosure']
1086260,A Astronauta,2025.0,['The Astronaut']
1452176,Abraham's Boys: A Dracula Story,2025.0,"[""Abraham's Boys: A Dracula Story""]"
680,Pulp Fiction: Tempo de Violência,1994.0,['Pulp Fiction']
146949,돌아오지 않는 해병,1963.0,"['돌아오지 않는 해병', 'The Marines Who Didn’t Come Home']"
508422,Penguin Highway,2018.0,"['ペンギン・ハイウェイ', 'Penguin Highway']"
425,A Era do Gelo,2002.0,['Ice Age']
497,À Espera de um Milagre,1999.0,['The Green Mile']
872585,Oppenheimer,2023.0,['Oppenheimer']
1156593,Sua Culpa,2024.0,"['Culpa Tuya', 'Culpa tuya']"
762509,Mufasa: O Rei Leão,2024.0,['Mufasa: The Lion King']
937278,O Pior Vizinho do Mundo,2022.0,['A Man Called Otto']
1496735,原神：尘间星旅,2025.0,"['Genshin Impact: Star Odyssey', '原神：尘间星旅']"
1109086,वॉर 2,2025.0,"['वॉर 2', 'War 2 (Telugu)']"
569094,Homem-Aranha: Através do Aranhaverso,2023.0,['Spider-Man: Across the Spider-Verse']
862,Toy Story: Um Mundo de Aventuras,1995.0,['Toy Story']
385687,Velozes & Furiosos 10,2023.0,['Fast X']
216015,Cinquenta Tons de Cinza,2015.0,['Fifty Shades of Grey']
693134,Duna: Parte Dois,2024.0,['Dune: Part Two']
48186,Castelo do Medo,2010.0,['The Boy Who Cried Werewolf']
121,O Senhor dos Anéis: As Duas Torres,2002.0,['The Lord of the Rings: The Two Towers']
58,Piratas do Caribe: O Baú da Morte,2006.0,"[""Pirates of the Caribbean: Dead Man's Chest""]"
1114967,Quando o Céu se Engana,2025.0,['Good Fortune']
2897,A Volta ao Mundo em 80 Dias,1956.0,['Around the World in 80 Days']
218,O Exterminador do Futuro,1984.0,['The Terminator']
1319895,Onda de Violência,2025.0,['Hostile Takeover']
829557,365 Dias: Hoje,2022.0,"['365 dni: Ten dzień', '(365) Days: This Day']"
718930,Trem-Bala,2022.0,['Bullet Train']
920708,వారణాసి,,"['వారణాసి', 'Vāranāsi']"
601,E.T.: O Extraterrestre,1982.0,['E.T. the Extra-Terrestrial']
240,O Poderoso Chefão: Parte II,1974.0,['The Godfather Part II']
2062,Ratatouille,2007.0,['Ratatouille']
9806,Os Incríveis,2004.0,['The Incredibles']
17979,Os Fantasmas de Scrooge,2009.0,['A Christmas Carol']
285,Piratas do Caribe: No Fim do Mundo,2007.0,"[""Pirates of the Caribbean: At World's End""]"
90187,La orca,1976.0,"['La orca', 'Snatch']"
1272166,Balada de um Jogador,2025.0,['Ballad of a Small Player']
200356,Descent,2005.0,['Descent']
408567,Pickup mortal,2016.0,['Deadly Pickup']
98,Gladiador,2000.0,['Gladiator']
900786,Los Angeles,2021.0,['Los Angeles']
119592,Pesadelo no Fim de Semana,1986.0,['Nightmare Weekend']
1422096,Bom Menino,2025.0,['Good Boy']
12400,Cinturão Vermelho,2008.0,['Redbelt']
1003348,The Doctor Down Under,2004.0,['The Doctor Down Under']
1561969,Baramulla,2025.0,"['बारामूला', 'Baramulla']"
1241634,No Amor e Na Música,2025.0,"['Saiyaara', 'सैयारा']"
1064213,Anora,2024.0,['Anora']
12153,As Branquelas,2004.0,['White Chicks']
346698,Barbie,2023.0,['Barbie']
5255,O Expresso Polar,2004.0,['The Polar Express']
945961,Alien - Romulus,2024.0,['Alien: Romulus']
105,De Volta para o Futuro,1985.0,['Back to the Future']
111,Scarface,1983.0,['Scarface']
205596,O Jogo da Imitação,2014.0,['The Imitation Game']
858485,ಕಾಂತಾರ,2022.0,"['ಕಾಂತಾರ', 'Kantara']"
1548092,As Loucuras,2025.0,"['The Follies', 'Las Locuras']"
89535,Nunca Chame o Demônio,1989.0,['Night Visitor']
766507,O Predador: A Caçada,2022.0,['Prey']
1328913,Padre no hay más que uno 5: Nido repleto,2025.0,['Padre no hay más que uno 5: Nido repleto']
14160,Up: Altas Aventuras,2009.0,['Up']
660719,Mon légionnaire,2021.0,"['Mon légionnaire', 'Our Men']"
1198426,Capitán Avispa,2024.0,"['Capitán Avispa', 'Captain Avispa']"
1012582,Enterre-me Quando Eu Morrer,2025.0,"[""Bury Me When I'm Dead""]"
103,Taxi Driver: Motorista de Táxi,1976.0,['Taxi Driver']
652,Tróia,2004.0,['Troy']
1374686,Jesus - A Luz do Mundo,2025.0,['Light of the World']
549319,Christmas Everlasting,2018.0,['Christmas Everlasting']
1466120,데드 어게인,2025.0,"['데드 어게인', 'Tropical Night']"
348,Alien: O Oitavo Passageiro,1979.0,['Alien']
12208,Cassino Royale,1967.0,['Casino Royale']
87068,Ame Seu Vizinho,1973.0,['Love Thy Neighbour']
1100988,Extermínio: A Evolução,2025.0,['28 Years Later']
630,O Mágico de Oz,1939.0,['The Wizard of Oz']
603692,John Wick 4: Baba Yaga,2023.0,['John Wick: Chapter 4']
786892,Furiosa: Uma Saga Mad Max,2024.0,['Furiosa: A Mad Max Saga']
1151334,Motorista de Fuga,2025.0,['Eenie Meanie']
578,Tubarão,1975.0,['Jaws']
1361854,Las delicias del jardín,2025.0,"['The Delights of the Garden', 'Las delicias del jardín']"
129,A Viagem de Chihiro,2001.0,"['千と千尋の神隠し', 'The Spiriting Away of Sen and Chihiro']"
19782,Mama Jack,2005.0,['Mama Jack']
1241470,Osíris,2025.0,['Osiris']
38757,Enrolados,2010.0,['Tangled']
68721,Homem de Ferro 3,2013.0,['Iron Man 3']
1285965,Animais Perigosos,2025.0,['Dangerous Animals']
585,Monstros S.A.,2001.0,"['Monsters, Inc.']"
37165,O Show de Truman: O Show da Vida,1998.0,['The Truman Show']
475961,Curvature,2017.0,['Curvature']
387824,엄마친구,2015.0,"[""Mother's Friend"", '엄마친구']"
346910,O Predador,2018.0,['The Predator']
121734,As Aventuras de Tadeo,2012.0,"['Tadeo Jones 1', 'Las aventuras de Tadeo Jones']"
8681,Busca Implacável,2008.0,['Taken']
22,Piratas do Caribe: A Maldição do Pérola Negra,2003.0,['Pirates of the Caribbean: The Curse of the Black Pearl']
776523,Homeroom,2021.0,['Homeroom']
272,Batman Begins,2005.0,['Batman Begins']
49051,O Hobbit: Uma Jornada Inesperada,2012.0,['The Hobbit: An Unexpected Journey']
10719,Um Duende em Nova York,2003.0,['Elf']
1006763,Abandonadas,2023.0,"['No Trace of the Heart', '查無此心']"
857,O Resgate do Soldado Ryan,1998.0,['Saving Private Ryan']
637,A Vida é Bela,1997.0,['La vita è bella']
1163258,Repetente,2023.0,['12th Fail']
250546,Annabelle,2014.0,['Annabelle']
122917,O Hobbit: A Batalha dos Cinco Exércitos,2014.0,['The Hobbit: The Battle of the Five Armies']
1126166,Ameaça no Ar,2025.0,['Flight Risk']
475557,Coringa,2019.0,['Joker']
156022,O Protetor,2014.0,['The Equalizer']
210577,Garota Exemplar,2014.0,['Gone Girl']
244786,Whiplash: Em Busca da Perfeição,2014.0,['Whiplash']
953,Madagascar,2005.0,['Madagascar']
438695,Sing 2,2021.0,['Sing 2']
315635,Homem-Aranha: De Volta ao Lar,2017.0,['Spider-Man: Homecoming']
512198,Dead Bride,2025.0,['Dead Bride']
564,A Múmia,1999.0,['The Mummy']
615453,Ne Zha,2019.0,"['哪吒之魔童降世', 'Nezha']"
1497036,Os Sneetches,2025.0,"[""Dr. Seuss's The Sneetches""]"
1138194,Herege,2024.0,['Heretic']
1202863,De Dentro da Escuridão,2024.0,"['Ur mörkret', 'From Darkness']"
1455575,Nos Bastidores de Stranger Things: The First Shadow,2025.0,['Behind the Curtain: Stranger Things: The First Shadow']
640,Prenda-Me se For Capaz,2002.0,['Catch Me If You Can']
38093,Jogada Certa,2010.0,['Just Wright']
467905,How to Make a Killing,2026.0,['How to Make a Killing']
1294203,Minha Culpa: Londres,2025.0,['My Fault: London']
8587,O Rei Leão,1994.0,['The Lion King']
1040587,Desperté con un sueño,2022.0,"['Desperté con un sueño', 'I Woke Up With a Dream']"
152601,Ela,2013.0,['Her']
605928,The Power of the Present,2017.0,['The Power of the Present']
494950,Rajma Chawal,2018.0,['Rajma Chawal']
97904,O Bombardeiro,1973.0,['The Mad Bomber']
11324,Ilha do Medo,2010.0,['Shutter Island']
436969,O Esquadrão Suicida,2021.0,['The Suicide Squad']
718838,O Domingo das Mães,2021.0,['Mothering Sunday']
558449,Gladiador 2,2024.0,['Gladiator II']
573435,Bad Boys: Até o Fim,2024.0,['Bad Boys: Ride or Die']
1340828,A Little Women's Christmas,2024.0,"[""A Little Women's Christmas""]"
1549517,Balahibong Pusa,2025.0,['Balahibong Pusa']
1380998,The Book,2024.0,['The Book']
808972,Norma,2023.0,['Norma']
467391,Severina,2017.0,['Severina']
1232449,Corações Jovens,2024.0,['Young Hearts']
12155,Alice no País das Maravilhas,2010.0,['Alice in Wonderland']
508,Simplesmente Amor,2003.0,['Love Actually']
152760,Caçadores de Obras-Primas,2014.0,['The Monuments Men']
1252309,Peça-me o Que Quiser,2024.0,"['Pídeme lo que quieras', 'Ask Me What You Want']"
38055,Megamente,2010.0,['Megamind']
928864,Tia Virgínia,2023.0,"['Tia Virgínia', 'Aunt Virginia']"
507086,Jurassic World: Domínio,2022.0,['Jurassic World Dominion']
1260649,Jumanji 3,2026.0,['Jumanji 3']
49521,O Homem de Aço,2013.0,['Man of Steel']
18424,Garotas Show de Bola,2006.0,['Cloud 9']
4247,Todo Mundo em Pânico,2000.0,['Scary Movie']
1087891,Operação Vingança,2025.0,['The Amateur']
73723,O Lorax: Em Busca da Trúfula Perdida,2012.0,['The Lorax']
1368166,A Empregada,2025.0,['The Housemaid']
1114743,Vingança Ancestral,2023.0,['The Curse of the Clown Motel']
4935,O Castelo Animado,2004.0,"['ハウルの動く城', ""Howl's Moving Castle""]"
2105,American Pie: A Primeira Vez é Inesquecível,1999.0,['American Pie']
9502,Kung Fu Panda,2008.0,['Kung Fu Panda']
335984,Blade Runner 2049,2017.0,['Blade Runner 2049']
447273,Branca de Neve,2025.0,['Snow White']
138843,Invocação do Mal,2013.0,['The Conjuring']
1259102,Eternidade,2025.0,['Eternity']
593643,O Menu,2022.0,['The Menu']
102382,O Espetacular Homem-Aranha 2: A Ameaça de Electro,2014.0,['The Amazing Spider-Man 2']
562,Duro de Matar,1988.0,['Die Hard']
575264,Missão: Impossível - Acerto de Contas Parte 1,2023.0,['Mission: Impossible - Dead Reckoning Part One']
612007,Üç Kağıtçılar,1976.0,"['The Three Superboys Strike Again', 'Üç Kağıtçılar']"
1028248,Treinamento Brutal,2022.0,['As Good as Dead']
1396965,名探偵コナン 隻眼の残像（フラッシュバック）,2025.0,"['Detective Conan Movie 28: One-Eyed Flashback', '名探偵コナン 隻眼の残像（フラッシュバック）']"
1418817,仮面ライダーガヴ お菓子の家の侵略者,2025.0,"['Kamen Rider Gavv & No. 1 Sentai Gozyuger: Double Summer Movie 2025', '仮面ライダーガヴ お菓子の家の侵略者']"
1726,Homem de Ferro,2008.0,['Iron Man']
46853,Maladolescenza,1977.0,"['Maladolescenza', 'Puppy Love']"
372921,공즉시색,2015.0,"['공즉시색', 'Emptiness is Nothing']"
77,Amnésia,2000.0,['Memento']
509,Um Lugar Chamado Notting Hill,1999.0,['Notting Hill']
169,O Predador 2: A Caçada Continua,1990.0,['Predator 2']
22373,Saturno contro,2007.0,"['Saturn in Opposition', 'Saturno contro']"
280,O Exterminador do Futuro 2: O Julgamento Final,1991.0,['Terminator 2: Judgment Day']
315162,Gato de Botas 2: O Último Pedido,2022.0,['Puss in Boots: The Last Wish']
546554,Entre Facas e Segredos,2019.0,['Knives Out']
9479,O Estranho Mundo de Jack,1993.0,['The Nightmare Before Christmas']
505953,Amigos para Sempre,2019.0,['Storm Boy']
12,Procurando Nemo,2003.0,['Finding Nemo']
635302,Demon Slayer: Mugen Train - O Filme,2020.0,"['Demon Slayer Mugen Train', '劇場版「鬼滅の刃」無限列車編']"
10681,WALL-E,2008.0,['WALL·E']
498162,Antes da Geada,2019.0,"['Before the Frost', 'Før frosten']"
376228,Audrie & Daisy,2016.0,['Audrie & Daisy']
321612,A Bela e a Fera,2017.0,['Beauty and the Beast']
769,Os Bons Companheiros,1990.0,['GoodFellas']
866398,Beekeeper: Rede de Vingança,2024.0,['The Beekeeper']
296917,Psycho-Pass: O Filme,2015.0,"['劇場版 PSYCHO-PASS サイコパス', 'Psychopath Movie']"
398818,Me Chame Pelo Seu Nome,2017.0,['Call Me by Your Name']
1034541,Terrifier 3,2024.0,['Terrifier 3']
59940,Encontro Secreto,2001.0,['Zebra Lounge']
10610,O Medalhão,2003.0,['The Medallion']
467814,Young April,1926.0,['Young April']
