id,titulo,titulos_alternativos
52,Battle Doll Angelic Layer,"['機動天使エンジェリックレイヤー', 'Battle Doll Angelic Layer', 'Angelic Layer', 'Kidou Tenshi Angelic Layer']"
53,Ai Yori Aoshi,"['藍より青し', 'Bluer Than Indigo', 'Ai Yori Aoshi']"
55,Arc the Lad,"['Arc the Lad', 'アークザラッド', 'Arc']"
56,Avenger,"['アヴェンジャー', 'Avenger']"
57,Beck: Mongolian Chop Squad,"['Beck: Mongolian Chop Squad', 'Beck', 'BECK', 'ベック']"
58,Blue Gender,"['Blue Gender', 'BLUE GENDER']"
59,Chobits,"['ちょびっツ', 'Chobits']"
60,Chrono Crusade,"['Chrono Crusade', 'Chrono Crusade: Mary Magdalene', 'Chrno Crusade', 'クロノクルセイド']"
61,D.N.Angel,"['DN Angel', 'Ｄ・Ｎ・ＡＮＧＥＬ', 'D.N.Angel', 'DNAngel']"
62,D.C.~Da Capo~,"['D.C.~Da Capo~', 'D.C.: Da Capo', 'D.C.～ダ・カーポ～']"
63,DearS,"['ディアーズ', 'DearS']"
64,Rozen Maiden,"['Rozen Maiden', 'ローゼンメイデン']"
66,Azumanga Daioh: The Animation,"['あずまんが大王 THE ANIMATION', 'Azumanga Daiou The Animation', 'Azumanga Daiou', 'Azumanga Daioh: The Animation']"
67,Basilisk,"['Basilisk: The Kôga Ninja Scrolls', 'Basilisk: The Kouga Ninja Scrolls', 'Basilisk: Koga Nimpo Cho', 'Basilisk: Kouga Ninpou Chou', 'バジリスク 甲賀忍法帖', 'Basilisk', 'Basilisk: Chronik der Koga-Ninja']"
68,Black Cat,"['Black Cat', 'ブラックキャット']"
69,Cluster Edge,"['Cluster Edge', 'CLUSTER EDGE（クラスターエッジ）']"
71,Full Metal Panic!,"['Fullmetal Panic!', 'Full Metal Panic!', 'フルメタル・パニック！', 'FMP']"
74,Gakuen Alice,"['Gakuen Alice', '学園アリス', 'Campus Alice', 'Alice Academy']"
75,Fafner,"['Fafner in the Azure: Dead Aggressor', 'Fafner', '蒼穹のファフナーDead Aggressor', 'Soukyuu no Fafner: Dead Aggressor']"
76,Magical Girl Lyrical Nanoha,"['魔法少女リリカルなのは', 'Magical Girl Lyrical Nanoha', 'Mahou Shoujo Lyrical Nanoha']"
79,Shuffle!,"['SHUFFLE! (シャッフル!)', 'Shuffle!']"
80,Mobile Suit Gundam,"['Kidou Senshi Gundam', 'Mobile Suit Gundam', 'First Gundam', 'Mobile Suit Gundam: 0079', '機動戦士ガンダム', 'MSG']"
85,Mobile Suit Zeta Gundam,"['Mobile Suit Zeta Gundam', 'Mobile Suit Z Gundam', 'Kidou Senshi Z Gundam', '機動戦士Ζガンダム', 'Kidou Senshi Zeta Gundam']"
86,Mobile Suit Gundam ZZ,"['機動戦士ガンダムZZ', 'Kidou Senshi Gundam Double Zeta', 'Kidou Senshi Gundam ZZ', 'Mobile Suit Gundam Double Zeta', 'Mobile Suit Gundam ZZ']"
89,Mobile Suit Victory Gundam,"['Kidou Senshi Victory Gundam', '機動戦士Vガンダム', 'Mobile Suit Victory Gundam']"
90,Mobile Suit Gundam Wing,"['Mobile Suit Gundam Wing', 'Shin Kidou Senki Gundam Wing', 'New Mobile Report Gundam Wing', '新機動戦記ガンダムW']"
92,After War Gundam X,"['After War Gundam X', 'Mobile New Century Gundam X', '機動新世紀ガンダムX', 'Kidou Shinseiki Gundam X']"
93,Mobile Suit Gundam SEED,"['Mobile Suit Gundam Seed', '機動戦士ガンダムSEED', 'Mobile Suit Gundam SEED', 'Kidou Senshi Gundam SEED']"
95,∀ Gundam,"['∀ガンダム', '∀ Gundam', 'Turn A Gundam', 'Mobile Suit Gundam Turn A']"
96,Mobile Fighter G Gundam,"['Kidou Butouden G Gundam', 'Mobile Fighter G Gundam', 'Mobile Fighter G-Gundam', '機動武闘伝Gガンダム']"
97,Last Exile,"['Last Exile', 'LAST EXILE（ラストエグザイル）']"
98,My-Hime,"['舞-HiME', 'My Princess', 'My-Hime', 'Mai-HiME']"
99,My-Otome,"['舞-乙HiME', 'Mai-OtoHiME', 'My-Otome', 'Mai Oto-Hime', 'Dancing Maiden', 'Mai-Otome']"
100,Prétear: The New Legend of Snow White,"['Prétear', 'Prétear: The New Legend of Snow White', '新白雪姫伝説プリーティア', 'Shin Shirayuki-hime Densetsu Prétear', 'Shin Shirayuki-hime Densetsu Pretear']"
101,Air,"['Air', 'AIR']"
102,"Babe, My Love","['Love You Baby', 'Aishiteruze Baby★★', 'Babe My Love', '愛してるぜ ベイベ★★', 'Aishiteru ze Baby', 'I Love You', 'Baby', 'Babe, My Love']"
104,"Ceres, Celestial Legend","['Ayashi no Ceres', '妖しのセレス', 'Ceres, Celestial Legend', 'Ceres: La Leyenda Celestial']"
105,Boys Be...,"['ボーイズ・ビー', 'Boys Be...']"
106,Hana Yori Dango,"['Hana Yori Dango', '花より男子', 'Hana yori Dango', 'HYD', 'Boys Over Flowers']"
107,Jing: King of Bandits,"['Jing: King of Bandits', 'King of Bandit Jing', '王ドロボウ JING', 'Ou Dorobou Jing']"
109,Burst Angel,"['Burst Angel', '爆裂天使', 'Bakuretsu Tenshi']"
111,Corrector Yui,"['Collector Yui', 'コレクター・ユイ', 'Corrector Yui']"
112,The Cosmopolitan Prayers,"['The Cosmopolitan Prayers', '超変身コス∞プレイヤー', 'Super Transformation Cosprayers', 'Chou Henshin Cosprayers']"
114,Cromartie High School,"['Sakigake!! Cromartie Koukou', '魁!! クロマティ高校', 'Cromartie High School']"
116,El-Hazard: The Wanderers,"['Shinpi no Sekai El-Hazard (TV)', '神秘の世界エルハザード', 'El-Hazard: The Magnificent World (TV)', 'El-Hazard: The Wanderers', 'Shinpi no Sekai El-Hazard']"
119,Final Approach,"['φなる・あぷろーち', 'Final Approach']"
120,Fruits Basket,"['Fruits Basket', 'Furuba', 'フルーツバスケット']"
121,Fullmetal Alchemist,"['Hagane no Renkinjutsushi', 'Fullmetal Alchemist', 'Full Metal Alchemist', 'FMA', '鋼の錬金術師']"
122,Looking for the Full Moon,"['Full Moon wo Sagashite', 'Mangetsu wo Sagashite', 'Searching for the Full Moon', 'Full Moon o Sagashite', '満月をさがして', 'Looking for the Full Moon']"
123,Mysterious Play,"['Fushigi Yugi', 'Mysterious Play', 'ふしぎ遊戯', 'El Juego Misterioso: Fushigi Yugi', 'Fushigi Yuugi', 'Curious Play']"
125,Twin Love,"['Futakoi', '双恋', 'Twin Love']"
127,Gate Keepers,"['Gatekeepers', 'Gate Keepers', 'ゲートキーパーズ']"
129,Saiyuki,"['Saiyuki', '幻想魔伝 最遊記', 'Gensou Maden Saiyuki', 'Gensoumaden Saiyuuki']"
132,Getbackers,"['GetBackers', 'Getbackers', 'ゲットバッカーズ\u3000奪還屋', 'GetBackers: Dakkanya', 'Get Backers']"
133,Green Green,"['Green Green', 'Green Green TV', 'グリーングリーン', 'Guri Guri']"
134,Gunslinger Girl,"['ガンスリンガー・ガール', 'Gunslinger Girl', 'Gunslinger Girls']"
135,Hikaru no Go,"[""Hikaru's Go"", 'ヒカルの碁', 'Hikaru no Go']"
136,Hunter x Hunter,"['Hunter x Hunter', 'Hunter X Hunter: Cazadores de Tesoros', 'HUNTER×HUNTER（ハンター×ハンター）', 'HxH']"
141,Jinki: Extend,"['Jinki:Extend', 'ジンキ・エクステンド', 'Jinki: Extend']"
143,Destiny of the Shrine Maiden,"['Kannaduki no Miko', 'Priestesses of the Godless Month', 'Kannazuki no Miko', 'Destiny of Shrine Maiden', 'Destiny of the Shrine Maiden', '神無月の巫女']"
145,His and Her Circumstances,"['Karekano', 'Kareshi Kanojo no Jijou', 'His and Her Circumstances', '彼氏彼女の事情', 'Entre Elle et Lui', 'Kare Kano']"
146,This Ugly Yet Beautiful World,"['This Ugly Yet Beautiful World', 'Kono Minikuku mo Utsukushii Sekai', 'この醜くも美しい世界']"
147,Rumbling Hearts,"['君が望む永遠', 'The Eternity You Wish For', 'Rumbling Hearts', 'Die Ewigkeit, die Du Dir Wünschst', 'Kimi ga Nozomu Eien', 'KimiNozo']"
149,Loveless,"['Loveless', 'LOVELESS', 'LL']"
150,Blood+,"['Blood Plus', 'Blood+', 'ブラッドプラス']"
152,Solty Rei,"['Solty Rei', 'SoltyRei', 'ソルティレイ']"
153,The Twelve Kingdoms,"['The Twelve Kingdoms', 'Doce Reinos', '十二国記', 'Juuni Kokuki', 'Les 12 Royaumes', '12 Kingdoms', 'Juuni Kokki']"
154,Shaman King,"['Shaman King', 'シャーマンキング']"
157,Negima!,"['Magister Negi Magi', 'Mahou Sensei Negima!', 'Magister Negi Magi Negima!', 'Negima! le Maître Magicien', '魔法先生 ネギま！', 'Negima!']"
158,Maria Watches Over Us,"['Maria-sama ga Miteru', 'マリア様がみてる', 'MariMite', 'María nos mira', 'Maria Watches Over Us', 'La Vierge Marie Vous Regarde', 'The Virgin Mary is Watching You']"
160,"Now and Then, Here and There","['Now and Then, Here and There', 'Ima', 'Ima, Soko ni Iru Boku', '今、そこにいる僕', 'Soko ni Iru Boku']"
161,Peace Maker Kurogane,"['PEACE MAKER 鐵', 'PMK', 'Peacemaker Kurogane', 'Peace Maker Kurogane']"
162,Pita-Ten,"['Pita Ten', 'Pitaten', 'ぴたテン', 'Pita-Ten']"
163,Power Stone,"['パワーストーン', 'Power Stone']"
165,RahXephon,"['RahXephon', 'ラーゼフォン']"
166,Samurai 7,"['Samurai 7', 'Samurai Seven', 'サムライセブン']"
167,Scrapped Princess,"['Scrapped Princess: La Princesa Abandonada', 'スクラップド・プリンセス', 'Haiki Oujo', 'Scrapped Princess']"
168,s-CRY-ed,"['s.CRY.ed', 's-CRY-ed', 'Scryed', 'スクライド']"
169,Lunar Legend Tsukihime,"['Lunar Legend Moon Princess', 'Lunar Legend Tsukihime', '真月譚 月姫', 'True Lunar Chronicle Tsukihime', 'Moon Princess', 'Lunar Legends', 'Tsukihime - Lunar Legend', 'Shingetsutan Tsukihime']"
170,Slam Dunk,"['Slam Dunk', 'スラムダンク']"
171,Strange Dawn,"['Strange Dawn', 'ストレンジ・ドーン']"
173,Tactics,"['Tactics', 'タクティクス']"
174,Tenjho Tenge,"['天上天下', 'Tenjho Tenge', 'Tenjou Tenge', 'Heaven and Earth', 'Tenjo Tenge']"
175,Tokyo Underground,"['東京アンダーグラウンド', 'Tokyo Underground']"
177,Tsubasa RESERVoir CHRoNiCLE,"['Tsubasa: RESERVoir CHRoNiCLE', 'Tsubasa RESERVoir CHRoNiCLE', 'Tsubasa Chronicle', 'ツバサ・クロニクル', 'Tsubasa CHRoNiCLE']"
178,Ultra Maniac,"['Ultra Maniac', 'ウルトラマニアック']"
180,Vandread,"['Vandread', 'ヴァンドレッド', 'Vandread First Stage', 'Vandread Stage One']"
182,The Vision of Escaflowne,"['Tenkuu no Escaflowne', 'The Vision of Escaflowne', '天空のエスカフローネ', 'La Visión de Escaflowne']"
183,Whistle!,"['ホイッスル！', 'Whistle!']"
184,Xenosaga The Animation,"['Xenosaga The Animation', 'ゼノサーガ THE ANIMATION']"
189,Love Hina,"['ラブひな', 'Love Hina']"
193,Maburaho,"['Maburaho', 'まぶらほ']"
195,Please Teacher!,"['Onegai Sensei', 'Onegai Teacher', 'おねがい☆ティーチャー', 'Please Teacher!', 'Onegai☆Teacher']"
196,Please Twins!,"['Please Twins', 'おねがい☆ツインズ', 'Please Twins!', 'Onegai☆Twins']"
197,Rizelmine,"['りぜるまいん', 'Rizelmine']"
198,Speed Grapher,"['Speed Grapher', 'スピードグラファー']"
200,Cheeky Angel,"['Cheeky Angel', '天使な小生意気', 'Tenshi na Konamaiki']"
202,Wolf's Rain,"[""Wolf's Rain"", 'ウルフズレイン', 'Wolf Rain']"
205,Samurai Champloo,"['サムライチャンプルー', 'SAMURAI CHAMPLOO', 'Samurai Champloo']"
206,Record of Lodoss War: Chronicles of the Heroic Knight,"['ロードス島戦記\u3000英雄騎士伝', 'Record of Lodoss War: Chronicles of the Heroic Knight', 'Lodoss-tou Senki: Eiyuu Kishi Den', 'Record of Lodoss War TV', 'Chroniques de la Guerre de Lodoss: La Légende du Chevalier Heroïque', 'Las Crónicas de Lodoss Los Ovas']"
209,R.O.D -The TV-,"['Read or Dream', 'R.O.D: The TV', 'アール・オー・ディー ザ・ティーヴィー', 'Read or Die TV', 'R.O.D. TV', 'ROD', 'Read or Die: the TV', 'R.O.D -The TV-', 'Read or Die']"
210,Ranma ½,"['Ranma ½ Nettou Hen', 'らんま1/2', 'Ranma ½', 'Ranma 1/2']"
218,Martian Successor Nadesico,"['Kidou Senkan Nadeshiko', '機動戦艦ナデシコ', 'Mobile Battleship Nadesico', 'Martian Successor Nadesico', 'Kidou Senkan Nadesico']"
222,Mezzo DSA,"['Mezzo Danger Service Agency', 'Mezzo TV Danger Service Agency', 'メゾ', 'Mezzo', 'Mezzo Forte TV', 'Mezzo DSA']"
223,Dragon Ball,"['Dragonball', 'DB', 'ドラゴンボール', 'Dragon Ball']"
225,Dragon Ball GT,"['DBGT', 'Dragon Ball GT', 'ドラゴンボールGT', 'Dragonball GT']"
226,Elfen Lied,"['Elfic Song', 'Elfen Lied', 'エルフェンリート', 'Elfen Song', 'Elf Song']"
228,Hell Girl,"['Jigoku Shoujo', 'Jigoku Shojo', '地獄少女', 'Hell Girl', 'La Fille des enfers']"
229,Ninja Nonsense,"['Ninin ga Shinobuden', 'ニニンがシノブ伝', '2 X 2 = The Legend of Shinobu', 'Ninin ga Shinobuden: The Nonsense Kunoichi Fiction', 'Ninja Nonsense', 'Nin x Nin = Shinobuden', '2x2 Shinobuden', '2x2=Shinobuden']"
230,Air Master,"['Airmaster', 'エアマスター', 'Air Master']"
231,Shrine of the Morning Mist,"['Shrine Of The Morning Mist', 'Priestesses of the Morning Mist', '朝霧の巫女', 'Asagiri no Miko', 'Maidens of Morning Mist', 'Shrine of the Morning Mist']"
232,Cardcaptor Sakura,"['CCS', 'カードキャプターさくら', 'Card Captor Sakura', 'Cardcaptors', 'Cardcaptor Sakura']"
235,Case Closed,"['Detective Conan', 'Meitantei Conan', '名探偵コナン', 'Case Closed']"
237,Eureka Seven,"['Eureka Seven', '交響詩篇エウレカセブン', 'Psalms of Planets Eureka Seven', 'Koukyoushihen Eureka Seven']"
238,Flame of Recca,"['Recca no Honoo', 'Flame of Recca', '烈火の炎', 'Rekka no Honoo']"
239,Gankutsuou: The Count of Monte Cristo,"['Gankutsuou', 'Gankutsuou-Le Comte de Monte-Cristo-', '巌窟王', 'The King of the Cavern', 'Gankutsuou: The Count of Monte Cristo']"
240,Genshiken,"['The Society for the Study of Modern Visual Culture', 'Genshiken', 'げんしけん']"
241,Girls Bravo,"['Girls Bravo: First Season', 'Girls Bravo', 'GIRLSブラボー first season']"
242,The Gokusen,"['ごくせん', 'Gokusen', 'The Gokusen']"
243,Gravitation,"['Gravitation', 'グラビテーション']"
244,Agatha Christie's Great Detectives Poirot and Marple,"['アガサ・クリスティーの名探偵ポワロとマープル', ""Agatha Christie's Great Detectives Poirot and Marple"", 'Agatha Christie no Meitantei Poirot to Marple']"
245,Great Teacher Onizuka,"['Great Teacher Onizuka', 'GTO', 'GTO - The Animation', 'グレート・ティーチャー・オニヅカ']"
246,Rave Master,"['Rave', 'レイヴ', 'Groove Adventure Rave', 'Rave Master']"
247,Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,"['In a Distant Time', 'Harukanaru Toki no Naka de: Hachiyou Shou', 'Haruka 8', 'Harukanaru Toki no Nakade - Hachiyosho -', 'HaruToki', 'Harukanaru Toki No Naka De: Hachiyou Shou a Tale of the Eight Guardian', '遙かなる時空の中で〜八葉抄〜', 'Haruka naru Toki no Naka de TV', 'Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians']"
248,Strawberry 100%,"['Strawberry 100%', 'いちご100%', 'Ichigo 100%']"
249,InuYasha,"['犬夜叉', 'Inu Yasha', 'InuYasha', 'Inuyasha']"
250,Zatch Bell!,"['Konjiki no Gash Bell!!', 'Zatch Bell!', '金色のガッシュベル!!']"
251,Kyou kara Maou!,"['Kyou kara Maou!', 'Kyo Kara Maoh!', 'King from now on!', '今日からマ王！', 'Maruma', 'God? Save Our King']"
252,Madlax,"['マドラックス', 'Madlax']"
260,Happy☆Lesson (TV),"['Happy☆Lesson', 'Happy Lesson', 'Happy☆Lesson (TV)', 'HAPPY☆LESSON']"
263,Fighting Spirit,"['はじめの一歩 THE FIGHTING!', 'Hajime no Ippo', 'Hajime no Ippo: Espíritu de Lucha', 'Hajime no Ippo: The Fighting', 'IPPO Le Challenger', 'The First Step', 'Fighting Spirit']"
267,Gungrave,"['ガングレイヴ', 'Gungrave']"
269,Bleach,"['BLEACH - ブリーチ -', 'Bleach']"
270,Hellsing,"['Hellsing', 'Hellsing [ヘルシング]']"
271,Gad Guard,"['Gad Guard', 'ガドガード']"
272,Noir,"['Noir', 'ノワール']"
276,Mahoromatic: Automatic Maiden,"['Mahoromantic: Automatic Maiden', 'Mahoromatic: Automatic Maiden', 'まほろまてぃっく']"
278,Viewtiful Joe,"['Viewtiful Joe', 'ビューティフル ジョー', 'Beautiful Joe']"
282,Angel Heart,"['エンジェル・ハート', 'Angel Heart']"
283,Anne of Green Gables,"['Akage no Anne', 'Anne the Redhead', 'Red haired Anne', '赤毛のアン', 'Anne of Green Gables', 'Sekai Meisaku Gekijou', 'Ana de las Tejas Verdes', 'Anne et la maison aux pignons verts']"
285,Argento Soma,"['AΠHENTO ΣOMA', 'Argento Soma', 'アルジェント ソーマ']"
286,B'T X,"['btx', ""B'tX"", 'B`T X\u3000ビート・エックス', ""B't X"", ""B'T X""]"
287,Baki the Grappler,"['グラップラー刃牙', 'Baki the Grappler', 'Grappler Baki (TV)']"
288,Beyblade,"['Bakuten Shoot Beyblade', '爆転シュート\u3000ベイブレード', 'Beyblade']"
289,Comic Party,"['Comic Party', 'こみっくパーティー']"
290,Crest of the Stars,"['Seikai no Monshou', '星界の紋章', 'Crest of The Stars', 'Crest of the Stars']"
292,Hoop Days,"['Hoop Days', 'ディア・ボーイズ', 'Dear Boys']"
293,Di Gi Charat,"['DiGi Charat', 'デ・ジ･キャラット', 'Di Gi Charat']"
294,Divergence Eve,"['ダイバージェンス・イヴ', 'Divergence Eve']"
296,Dragon Drive,"['ドラゴンドライブ', 'Dragon Drive']"
297,Grenadier: The Beautiful Warrior,"['グレネーダー 〜ほほえみの閃士〜', 'Grenadier: The Smiling Senshi', 'Grenadier: The Beautiful Warrior', 'Grenadier: Hohoemi no Senshi']"
301,Cinderella Boy,"['シンデレラボーイ', 'Cinderella Boy']"
302,Future Boy Conan,"['Conan: el Niño del Futuro', 'Future Boy Conan', 'Mirai Shounen Conan', '未来少年コナン', 'The Boy in Future']"
303,Oh! My Goddess: The Adventures of Mini-Goddess,"['Ah! My Goddess!: Chichaitte Koto wa Benri da ne', 'Oh! My Goddess: The Adventures of Mini-Goddess', 'Aa! Megami-sama!: Chichaitte Koto wa Benri da ne', 'Oh! My Goddess: Being Small is Convenient', 'ああっ女神さまっ 小っちゃいって事は便利だねっ']"
306,Magical☆Shopping Arcade Abenobashi,"['アベノ橋魔法☆商店街', 'Magical Shopping Arcade Abenobashi', 'Abenobashi Mahoh Shotengai', 'Abenobashi Magic Shopping District', 'Magical☆Shopping Arcade Abenobashi', 'Abenobashi Mahou☆Shoutengai', 'Magical Shopping Street Abenobashi']"
308,Zettai Shounen,"['Zettai Shounen', 'Zettai Shonen', 'Absolute Boy', '絶対少年']"
309,Akahori's Heretical Hour Love Game,"['Soreyuke! Gedou Otometai', 'あかほり外道アワーらぶげ', 'Akahori Gedou Hour Love Game', 'Zettai Seigi Love Pheromone', 'Akahori Gedou Hour Rabuge', 'Absolute Justice Love Pheromone', ""Akahori's Heretical Hour Love Game""]"
311,Aim for the Ace!,"['Jeu, Set et Match!', 'Aim for the Ace!', 'エースをねらえ!', 'Ace o Nerae', 'Ace wo Nerae!']"
318,Hand Maid May,"['HAND MAID メイ', 'Hand Maid May']"
321,Najica Blitz Tactics,"['Najica Blitz Tactics', 'ナジカ電撃作戦', 'Najica Dengeki Sakusen']"
322,Paradise Kiss,"['ParaKiss', 'Paradise kiss', 'Paradise Kiss']"
323,Paranoia Agent,"['Paranoja Agent', 'Paranoia Agent', '妄想代理人', 'Mousou Dairinin']"
324,Patlabor: The Mobile Police - The TV Series,"['Patlabor : The Mobile Police', 'Kido Keisatsu Patlabor', 'Patlabor: The Mobile Police - The TV Series', 'Kidou Keisatsu Patlabor: On Television', 'Patlabor', 'Mobile Police Patlabor ON TELEVISION', '機動警察パトレイバー ON TELEVISION']"
325,Peach Girl: Super Pop Love Hurricane,"['ピーチガール', 'Peach Girl: Super Pop Love Hurricane', 'Peach Girl']"
326,Pet Shop of Horrors,"['Pet Shop of Horrors (ペットショップ・オブ・ホラーズ)', 'Petshop of Horrors', 'Pet Shop of Horrors']"
328,Piano: The Melody of a Young Girl's Heart,"['PIANO', ""Piano: The Melody of a Young Girl's Heart"", 'Piano']"
329,Planetes,"['ΠΛΑΝΗΤΕΣ', 'プラネテス', 'Planetes']"
330,Midori Days,"['Midori Days: Midori no Hibi', 'My Days With Midori', '美鳥の日々', 'Midori Days', 'Midori no Hibi']"
334,Marmalade Boy,"['Marmalade Boy', 'ママレード・ボーイ']"
335,Mythical Detective Loki Ragnarok,"['Mythical Detective Loki Ragnarok', 'Le Détective Légendaire Loki Ragnarok', 'Matantei Loki Ragnarok', '魔探偵ロキ RAGNAROK']"
336,Ginyuu Mokushiroku Meine Liebe,"['吟遊黙示録 マイネリーベ', 'Meine Liebe', 'Ginyuu Mokushiroku Meine Liebe', 'My Love']"
338,The Rose of Versailles,"['Lady Oscar', 'ベルサイユのばら', 'The Rose of Versailles', 'Berusaiyu no Bara', 'Versailles no Bara', 'Die Rose von Versailles']"
339,Serial Experiments Lain,"['シリアルエクスペリメンツレイン', 'Serial Experiments Lain']"
340,Time of Shura,"['Shura no Toki - Age of Chaos', 'Time of Shura', '陸奥圓明流外伝 修羅の刻', 'Mutsu Enmei Ryuu Gaiden: Shura no Toki', ""L'Ère des Shura"", 'Shura no Toki']"
343,Tsukuyomi: Moon Phase,"['Tsukuyomi: Moon Phase', '月詠 −MOON PHASE−']"
344,Twin Spica,"['Futatsu no Spica', 'Twin Spica', 'ふたつのスピカ']"
345,Emma: A Victorian Romance,"['Eikoku Koi Monogatari Emma', '英國戀物語エマ', 'Emma: A Victorian Romance', 'Emma: Un Romance Victoriano']"
347,Wild Arms,"['Wild Arms', 'ワイルドアームズ トワイライトヴェノム', 'Wild Arms: Twilight Venom']"
348,Bottle Fairy,"['Binzume Yousei', 'Binzume Yousei: Bottle Fairy', '瓶詰妖精', 'Bottle Fairy']"
350,Magical DoReMi,"['Ojamajo Doremi', 'Useless Witchgirl Doremi', 'Magical DoReMi', 'おジャ魔女どれみ']"
354,Ultimate Girls,"['UG☆Ultimate Girls', 'Ultra Girl', 'Ultimate Girls', 'UG☆アルティメットガール', 'UG*Ultimate Girls', 'UG Ultimate Girls']"
356,Fate/stay night,"['Fate - Stay Night', 'Fate/stay night']"
360,Legend of Himiko,"['Legend of Himiko', 'Himikoden', 'Himiko-den', '火魅子伝']"
364,Gallery Fake,"['Gallery Fake', 'ギャラリーフェイク']"
369,Boogiepop Phantom,"['Boogiepop wa Warawanai', 'Boogiepop Never Laughs', 'Boogiepop Phantom', ""Boogiepop Doesn't Laugh"", 'ブギーポップは笑わない Boogiepop Phantom']"
375,All Purpose Cultural Cat Girl Nuku Nuku TV,"['万能文化猫娘', 'All Purpose Cultural Cat Girl Nuku Nuku TV', 'Nuku Nuku', 'Bannou Bunka Nekomusume', 'Bannou Bunka Neko-Musume (1998)']"
379,Excel Saga,"['Heppoko Jikken Animation Excel♥Saga', 'へっぽこ実験アニメーション エクセル♥サーガ', 'Excel Saga']"
384,Gantz,"['GANTZ', 'Gantz', 'ガンツ']"
385,Gilgamesh,"['Gilgamesh', 'ギルガメッシュ']"
386,H2,"['Ｈ２[エイチ・ツー]', 'H2']"
387,Haibane Renmei,"['灰羽連盟', 'Charcoal Feather Federation', 'Ailes Grises : Haibane Renmei', 'Haibane Renmei']"
388,Capeta,"['Capeta', 'カペタ']"
390,Suzuka,"['涼風', 'Suzuka']"
392,Yu Yu Hakusho: Ghost Files,"['Ghost Fighter', 'Yu Yu Hakusho', '幽☆遊☆白書', 'Yuu☆Yuu☆Hakusho', 'Poltergeist Report', 'YuYu Hakusho', 'Yu Yu Hakusho: Ghost Files']"
400,Outlaw Star,"['Outlaw Star', 'Starward Warrior Knight Outlaw Star', 'Seihou Bukyou Outlaw Star', '星方武侠アウトロースター', 'Future Hero Next Generation Outlaw Star']"
406,Buzzer Beater,"['Buzzer Beater', 'BUZZER BEATER WARM-UP', 'BUZZER BEATER']"
411,Gun x Sword,"['Gun vs Sword', 'ガン×ソード', 'Gun x Sword']"
412,He is My Master,"['Kore ga Watashi no Goshujinsama', ""That's My Master"", 'これが私の御主人様', 'He is My Master']"
417,Ragnarok the Animation,"['Ragnarok The Animation', 'Ragnarök The Animation', 'Ragnarok the Animation', 'RAGNARÖK THE ANIMATION']"
419,Samurai Deeper Kyo,"['SAMURAI DEEPER KYO', 'Samurai Deeper Kyou', 'Samurai Deeper Kyo']"
