isbn,titulo_pt,titulo_original,descricao,imagem_url,autores,paginas,categorias
9788580415544,O guia definitivo do Mochileiro das Galáxias,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),"Pela primeira vez, reunimos em um único volume os cinco livros da cultuada série O Mochileiro das Galáxias, de Douglas Adams. Com mais de 15 milhões de exemplares vendidos, a saga do britânico esquisitão Arthur Dent pela Galáxia conquistou leitores do mundo inteiro. O humor ácido e as tramas surreais de Douglas Adams se tornaram ícones de uma geração e seguem fascinando – e divertindo – leitores de todas as idades. Pegue sua toalha, embarque nessa aventura improvável e, é claro, não entre em pânico! O Guia do Mochileiro das Galáxias Segundos antes de a Terra ser destruída para dar lugar a uma via expressa interespacial, Arthur Dent é salvo por Ford Prefect, um E.T. que fazia pesquisa de campo para a nova edição de O Guia do Mochileiro das Galáxias. Pegando carona numa nave alienígena, os dois dão início a uma alucinante viagem pelo tempo e pelo espaço. O Restaurante no Fim do Universo Arthur Dent e seus quatro estranhos companheiros viajam pela Galáxia a bordo da nave Coração de Ouro, em uma busca desesperada por algum lugar para comer. Depois de fazer a refeição mais estranha de suas vidas, eles seguem pelo espaço e acabam descobrindo a questão sobre a Vida, o Universo e Tudo Mais. A Vida, o Universo e Tudo Mais Arthur Dent passou os últimos cinco anos abandonado na Terra pré-histórica, mas ainda acordava todos os dias com um grito de horror. No entanto, talvez fosse melhor continuar nessa tediosa rotina do que ser arrastado para a sua próxima missão: salvar o Universo dos temíveis e infelizes robôs xenófobos do planeta Krikkit. Até Mais, e Obrigado Pelos Peixes! Depois de viajar pelo Universo, ver o aniquilamento da Terra, participar de guerras interestelares e conhecer criaturas extraordinárias, Arthur Dent está de volta ao seu planeta. E tudo parece estranhamente normal – exceto pelo desaparecimento dos golfinhos. Disposto a desvendar esse mistério, ele parte em uma nova jornada. Praticamente Inofensiva Após muitos anos vivendo separados, cada um em um canto mais insondável do Universo, Arthur Dent, Ford Prefect e Tricia McMillan se reencontram. Mas o que deveria ser uma festejada reunião de velhos amigos se transforma numa terrível confusão que põe em risco – mais uma vez – a vida de todos.",,Douglas Adams,0,Fiction
9788554517526,Breve história de quase tudo,A Short History of Nearly Everything,"Um inventário de tudo o que sabemos sobre o mundo, da origem do universo até os dias de hoje, explicado de maneira clara até para o leitor de primeira viagem. Vencedor do prêmio Aventis 2004, o livro teve os direitos de publicação negociados em 29 países e vendeu mais de 2 milhões de exemplares na Inglaterra. Ao constatar que ignorava o porquê dos oceanos serem salgados, o renomado escritor e cronista Bill Bryson percebeu, com certo desagrado, que tinha pouquíssimo conhecimento sobre o planeta em que vivia. A indagação o propeliu à tarefa épica de entender - e explicar - tudo o que sabemos sobre o mundo. Bryson parte da origem do universo e segue até os dias de hoje, tratando de assuntos relacionados à física, geologia, paleontologia e todas as outras disciplinas que considerava ""maçantes"" na escola. Antítese do texto didático tradicional, sua prosa foge dos jargões técnicos sem nunca abrir mão da profundidade. A preocupação do autor está em entender como os cientistas realizam suas descobertas. Para compilar esta Breve história de quase tudo, Bryson consultou dezenas de obras e pesquisadores e montou o que pode ser considerado um delicioso guia de viagens pela ciência. ""Um clássico moderno da escrita científica."" - The New York Times ""Um diário de viagem pela ciência, escrito por um guia inteligente, engajado e bem-informado, que ama o assunto e está louco para dividir esse prazer"" - The Times",http://books.google.com/books/content?id=9nzoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Bill Bryson,552,Science
9788595085800,O Hobbit,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"Edição com mapas, capa dura, fitilho, as ilustrações originais de J.R.R. Tolkien e um pôster de Valfenda exclusivo! Bilbo Bolseiro era um dos mais respeitáveis hobbits de todo o Condado até que, um dia, o mago Gandalf bate à sua porta. A partir de então, toda sua vida pacata e campestre soprando anéis de fumaça com seu belo cachimbo começa a mudar. Ele é convocado a participar de uma aventura por ninguém menos do que Thorin Escudo-de-Carvalho, um príncipe do poderoso povo dos Anãos. Esta jornada fará Bilbo, Gandalf e 13 anãos atravessarem a Terra-média, passando por inúmeros perigos, como os imensos trols, as Montanhas Nevoentas infestadas de gobelins ou a muito antiga e misteriosa Trevamata, até chegarem (se conseguirem) na Montanha Solitária. Lá está um incalculável tesouro, mas há um porém. Deitado em cima dele está Smaug, o Dourado, um dragão malicioso que... bem, você terá que ler para descobrir. Lançado em 1937, O Hobbit é um divisor de águas na literatura de fantasia mundial. Mais de 80 anos após a sua publicação, o livro que antecede os ocorridos em O Senhor dos Anéis continua arrebatando fãs de todas as idades, talvez pelo seu tom brincalhão com uma pitada de magia élfica, ou talvez porque J.R.R. Tolkien tenha escrito o melhor livro infantojuvenil de todos os tempos.",http://books.google.com/books/content?id=2LeZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,J.R.R. Tolkien,335,Fiction
9788595086333,O Senhor dos Anéis: A Sociedade do Anel,The Lord of the Rings (The Lord of the Rings  #1-3),"A Sociedade do Anel O volume inicial de O Senhor dos Anéis, lançado originalmente em julho de 1954, foi o primeiro grande épico de fantasia moderno, conquistando milhões de leitores e se tornando o padrão de referência para todas as outras obras do gênero até hoje. A imaginação prodigiosa de J.R.R. Tolkien e seu conhecimento profundo das antigas mitologias da Europa permitiram que ele criasse um universo tão complexo e convincente quanto o mundo real. A Sociedade do Anel começa no Condado, a região rural do oeste da Terra-média onde vivem os diminutos e pacatos hobbits. Bilbo Bolseiro, um dos raros aventureiros desse povo, cujas peripécias foram contadas em O Hobbit, resolve ir embora do Condado e deixa sua considerável herança nas mãos de seu jovem parente Frodo. O mais importante legado de Bilbo é o anel mágico que costumava usar para se tornar invisível. No entanto, o mago Gandalf, companheiro de aventuras do velho hobbit, revela a Frodo que o objeto é o Um Anel, a raiz do poder demoníaco de Sauron, o Senhor Sombrio, que deseja escravizar todos os povos da Terra-média. A única maneira de eliminar a ameaça de Sauron é destruir o Um Anel nas entranhas da própria montanha de fogo onde foi forjado. A revelação faz com que Frodo e seus companheiros hobbits Sam, Merry e Pippin deixem a segurança do Condado e iniciem uma perigosa jornada rumo ao leste. Ao lado de representantes dos outros Povos Livres que resistem ao Senhor Sombrio, eles formam a Sociedade do Anel. Alguém uma vez disse que o mundo dos leitores de língua inglesa se divide entre os que já leram O Senhor dos Anéis e os que um dia lerão o livro. Com esta nova tradução da obra, o fascínio dessa aventura atemporal ficará ainda mais evidente para os leitores brasileiros, tanto os que já conhecem a saga como os que estão prestes a descobrir seu encanto.",http://books.google.com/books/content?id=R7KuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,J.R.R. Tolkien,582,Fiction
9786555113884,A Sociedade do Anel - Capa Os Anéis de Poder,The Fellowship of the Ring (The Lord of the Rings  #1),"O volume inicial de O Senhor dos Anéis, lançado originalmente em julho de 1954, foi o primeiro grande épico de fantasia moderno, conquistando milhões de leitores e se tornando o padrão de referência para todas as outras obras do gênero até hoje. A imaginação prodigiosa de J.R.R. Tolkien e seu conhecimento profundo das antigas mitologias da Europa permitiram que ele criasse um universo tão complexo e convincente quanto o mundo real. A Sociedade do Anel começa no Condado, a região rural do oeste da Terra-média onde vivem os diminutos e pacatos hobbits. Bilbo Bolseiro, um dos raros aventureiros desse povo, cujas peripécias foram contadas em O Hobbit, resolve ir embora do Condado e deixa sua considerável herança nas mãos de seu jovem parente Frodo. O mais importante legado de Bilbo é o anel mágico que costumava usar para se tornar invisível. No entanto, o mago Gandalf, companheiro de aventuras do velho hobbit, revela a Frodo que o objeto é o Um Anel, a raiz do poder demoníaco de Sauron, o Senhor Sombrio, que deseja escravizar todos os povos da Terra-média. A única maneira de eliminar a ameaça de Sauron é destruir o Um Anel nas entranhas da própria montanha de fogo onde foi forjado. A revelação faz com que Frodo e seus companheiros hobbits Sam, Merry e Pippin deixem a segurança do Condado e iniciem uma perigosa jornada rumo ao leste. Ao lado de representantes dos outros Povos Livres que resistem ao Senhor Sombrio, eles formam a Sociedade do Anel. Alguém uma vez disse que o mundo dos leitores de língua inglesa se divide entre os que já leram O Senhor dos Anéis e os que um dia lerão o livro. Com esta nova tradução da obra, o fascínio dessa aventura atemporal ficará ainda mais evidente para os leitores brasileiros, tanto os que já conhecem a saga como os que estão prestes a descobrir seu encanto. Em comemoração à estreia da aguardada série O Senhor dos Anéis: Os Anéis de Poder do serviço de streaming Prime Video , novas capas foram lançadas para os três volumes da maior obra de J.R.R. Tolkien. Na capa de A Sociedade do Anel , temos a figura da Elfa Galadriel (Morfydd Clark) segurando uma adaga com o desenho das Duas Árvores de Valinor em Aman. Na série acompanharemos Galadriel e grandes nomes do legendário da Terra-média como o Alto Rei dos Noldor, Gil-galad (Benjamin Walker), Elrond o Meio-elfo (Robert Aramayo), Celebrimbor (Charles Edwards), Durin VI (Owain Arthur) e Isildur (Maxim Baldry), desbravando diferentes locais como o reino de Lindon, a cidade de Eregion, as Mansões de Moria e a ilha de Númenor. Além disto as regiões de Eriador, Rhovanion e Mordor também serão apresentadas por grandes diretores, como J.A. Bayona. Ainda veremos os antepassados dos amados e pequeninos hobbits na figura dos Pés Peludos, como no caso de Elanor ""Nori"" Brandyfoot (Markella Kavenagh).",http://books.google.com/books/content?id=o39zEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,J.R.R. Tolkien,584,Fiction
9788595086333,O Senhor dos Anéis: A Sociedade do Anel,The Lord of the Rings (The Lord of the Rings  #1-3),"A Sociedade do Anel O volume inicial de O Senhor dos Anéis, lançado originalmente em julho de 1954, foi o primeiro grande épico de fantasia moderno, conquistando milhões de leitores e se tornando o padrão de referência para todas as outras obras do gênero até hoje. A imaginação prodigiosa de J.R.R. Tolkien e seu conhecimento profundo das antigas mitologias da Europa permitiram que ele criasse um universo tão complexo e convincente quanto o mundo real. A Sociedade do Anel começa no Condado, a região rural do oeste da Terra-média onde vivem os diminutos e pacatos hobbits. Bilbo Bolseiro, um dos raros aventureiros desse povo, cujas peripécias foram contadas em O Hobbit, resolve ir embora do Condado e deixa sua considerável herança nas mãos de seu jovem parente Frodo. O mais importante legado de Bilbo é o anel mágico que costumava usar para se tornar invisível. No entanto, o mago Gandalf, companheiro de aventuras do velho hobbit, revela a Frodo que o objeto é o Um Anel, a raiz do poder demoníaco de Sauron, o Senhor Sombrio, que deseja escravizar todos os povos da Terra-média. A única maneira de eliminar a ameaça de Sauron é destruir o Um Anel nas entranhas da própria montanha de fogo onde foi forjado. A revelação faz com que Frodo e seus companheiros hobbits Sam, Merry e Pippin deixem a segurança do Condado e iniciem uma perigosa jornada rumo ao leste. Ao lado de representantes dos outros Povos Livres que resistem ao Senhor Sombrio, eles formam a Sociedade do Anel. Alguém uma vez disse que o mundo dos leitores de língua inglesa se divide entre os que já leram O Senhor dos Anéis e os que um dia lerão o livro. Com esta nova tradução da obra, o fascínio dessa aventura atemporal ficará ainda mais evidente para os leitores brasileiros, tanto os que já conhecem a saga como os que estão prestes a descobrir seu encanto.",http://books.google.com/books/content?id=R7KuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,J.R.R. Tolkien,582,Fiction
9788583863021,HEIDI A menina dos Alpes - Livro ilustrado 1,Heidi (Heidi  #1-2),"Heidi A menina dos Alpes da escritora suiça Johanna Spyri é uma história emocionante, ambientada nos impressionantes cenários dos Alpes suíços. As descrições vívidas das montanhas, da cabana do avô e da vida simples de Heidi são algumas das mais evocativas já escritas. O livro, Heidi: Amenina dos Alpes que em meio a muitas celebrações completou 135 anos, já vendeu mais de 20 milhões de exemplares e foi traduzido para 50 idiomas. Trata-se de um clássico da literatura infantojuvenil que cativa também o público adulto. Johanna Spyri faz parte da Série Escritoras do Mundo da LeBooks Editora.",http://books.google.com/books/content?id=dMCODwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,johanna Spyri,143,Juvenile Fiction
9786555878646,O que esperar do primeiro ano,What to Expect the First Year (What to Expect),"Em uma nova edição revisada e atualizada, O que esperar do primeiro ano, de Heidi Murkoff, autora da série best-seller de livros sobre parentalidade, é um guia essencial com tudo que você precisa saber sobre o primeiro ano do bebê. O primeiro ano é, provavelmente, o que tem mais impacto na vida de uma criança. No entanto, bebês não vêm com manual de instruções. Heidi Murkoff sabe disso e se sentiu completamente perdida quando sua primeira filha nasceu. Não sabia como segurá-la, alimentá-la, trocar suas fraldas, embalá-la, colocá-la para arrotar, acalmá-la ou simplesmente como se comunicar com ela. Ela se atrapalhava para apoiar a cabeça da filha, ainda sem sustentação, para passar seus bracinhos moles pelas mangas da camiseta, para amamentar. Esperava que seus instintos maternos não a deixassem na mão, mas deixaram. Apesar do impacto na sua autoestima, ela e seu marido conseguiram passar pelo processo, com uma fralda mal trocada, um banho mal dado e uma noite sem dormir de cada vez. Tendo já publicado o best-seller sobre gravidez O que esperar quando você está esperando, Murkoff decidiu escrever a sequência: O que esperar do primeiro ano. Sem se restringir à própria experiência, reuniu uma série de pesquisas e preparou este guia para ajudar os pais a passarem pelo primeiro ano de seus filhos com mais confiança, conhecimento, alegria e menos estresse. Nessa nova edição revisada e atualizada, às dicas atemporais (como trocar fraldas, por exemplo), foram acrescidas as tendências mais recentes (fraldas ecológicas), informações sobre como fazer a amamentação funcionar (inclusive no retorno da mãe ao trabalho), cursos de cuidados com bebês, como lidar com a tecnologia (pesquisas sobre o impacto do tempo de tela em crianças), além de novas informações que ajudam a avaliar o que é ou não necessário comprar para o bebê. Há ainda um novo cronograma para acompanhar o desenvolvimento da criança, dicas práticas para os pais, um capítulo estendido sobre cuidados com prematuros (com um glossário de termos médicos para compreender melhor o que é dito na UTI neonatal) e informações atualizadas sobre saúde (vacinas, terapias alternativas, probióticos e homeopatia) e segurança (cadeirinha para o carro, produtos seguros e primeiros socorros para casos de emergência). Com mais de 11 milhões de cópias vendidas, O que esperar do primeiro ano é um guia que traz todas as instruções que os pais gostariam de receber de forma empática, reconfortante e divertida.",http://books.google.com/books/content?id=Q9L2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Heidi Murkoff,896,Health & Fitness
9788520913130,O imperador-Deus de Duna,God Emperor of Dune (Dune Chronicles  #4),"Acompanhando os diários de Leto II, imperador-deus de Duna e filho de Paul Muad'Dib, assistimos às disputas militares, políticas e religiosas que marcaram a sua época. Leto é, acima de tudo, obcecado pela idéia de divindade ou domínio do tempo. Sua verdadeira e decisiva batalha é travada no campo da consciência e da persuasão; e ele deve escolher entre comandar o futuro e o passado por meio do fogo ou da palavra.",,"Frank Herbert, JORGE LUIZ CALIFE",504,
9788576574903,Herdeiras de Duna,Chapterhouse: Dune (Dune Chronicles #6),"Após a ação arrasadora de um misterioso culto matriarcal, a ordem Bene Gesserit se vê quase dizimada, o que representa uma terrível ameaça aos valores do Antigo Império. A fim de se defender, a Irmandade recua para o planeta de Casa Capitular, seu reduto mais oculto, levando consigo os segredos dos vermes da areia e da produção de mélange. E é a partir desse mundo misterioso que elas organizam sua resistência, suas ações e a restauração de seus planos, iniciados nos longínquos tempos de Duna. Último livro escrito por Frank Herbert, Herdeiras de Duna fecha maravilhosamente a série original. Seu enredo empolgante, aliado ao rico universo histórico, filosófico e religioso da saga, confirma ainda mais a Série Duna como uma das jornadas mais extraordinárias da ficção científica mundial.",http://books.google.com/books/content?id=YuQ_EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Frank Herbert,758,Fiction
9788576572381,Messias de Duna,Dune Messiah (Dune Chronicles #2),"Messias de Duna, de Frank Herbert, é o segundo volume da série que se tornou um verdadeiro marco da ficção científica. A continuação é responsável pela expansão e aprofundamento do universo criado em Duna, aliando discussões políticas, filosóficas e religiosas à sua épica história de poder, vingança e redenção. O livro revela mais profundamente o lado humano de Paul e de sua irmã, Alia Atreides. Embora vistos como seres dotados de capacidades sobrenaturais, ambos carregam dentro de si dúvidas e incertezas, medos e paixões. E apoiados nestas emoções, eles enfrentarão o propósito terrível de um audacioso grupo de conspiradores. Na trama, doze anos se passaram desde a ascensão de Paul Atreis - ou Muad'Dib- ao trono. Arrakis tornou-se o centro do Imperium, a partir de onde os fremen se propagam a fim de levar sua filosofia e sua forma de governar aos planetas por eles conquistados. Os inevitáveis conflitos gerados por essa expansão fazem com que importantes facções contrárias ao imperador reúnam forças para detê-lo.",http://books.google.com/books/content?id=PM2uCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Frank Herbert,345,Fiction
